报告日期,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),0.08,0.48,0.35,0.22,0.08,0.4,0.23,0.15,0.07,0.34,0.24,0.17,0.08,0.36,0.26,0.19,0.07,0.23,0.15,0.08,0.03,0.23,0.14,0.07,0,0.19,0,--,
每股净资产(元),--,--,--,--,--,--,--,--,3.44,--,3.26,3.2,3.15,3.01,2.92,2.86,2.8,2.76,2.66,2.57,2.57,2.54,--,1.16,0,1.18,0,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.47,--,-0.53,-0.43,-0.13,-0.3,-1.23,-1.03,-0.83,0.11,-0.26,-0.37,-0.43,0.11,--,0.6,0,0.64,0,--,
主营业务收入(万元),1743070,10429049,6416647,3880520,1468783,9724067,5843266,3691467,1815116,9243130,6430107,4284523,1839894,8935318,6418158,4113245,1947904,6218432,3908799,2487492,969589,4051592,2473311,1482946,664005,3471072,2637121,2098038,
主营业务利润(万元),362857,1911949,1224239,749009,294859,1650944,947672,615431,264885,1306976,877310,584690,245644,1170624,773787,508110,202505,806225,505401,288562,113310,496141,337701,201411,93979,507053,418688,314137,
营业利润(万元),129905,640901,482532,284503,104143,482614,288442,189793,84702,362031,275491,196073,77518,318317,252315,187040,70886,196179,156765,81523,28509,123850,94431,45264,21550,120523,92767,35673,
投资收益(万元),6395,40655,28473,16135,5304,25144,19318,8348,4535,23799,16997,11111,5107,23923,26380,16955,11108,13727,6312,2813,4830,48955,19379,13019,5075,16490,7756,2915,
营业外收支净额(万元),4192,20220,13767,4628,7043,27299,17270,8540,4101,51692,16550,12155,5029,43065,17632,9872,5404,37096,7853,4249,3507,37021,11388,6926,3609,22469,17889,1091,
利润总额(万元),134098,661121,496299,289131,111186,509913,305712,198333,88803,413722,292041,208228,82547,361382,269947,196911,76290,233276,164618,85772,32016,160871,105820,52190,25159,142992,110656,36764,
净利润(万元),100753,549235,395827,232308,87624,412856,238996,156740,73629,338384,234758,165674,66420,298517,219279,160350,61374,190909,128196,63348,25858,131556,80007,38375,18638,113074,74227,13165,
净利润(扣除非经常性损益后)(万元),97354,531844,379232,225833,81641,392009,224817,149665,--,297178,--,158514,--,260042,--,148371,--,175253,--,71126,0,80016,--,28295,0,93782,48101,11955,
经营活动产生的现金流量净额(万元),-241524,1475644,-1138204,-1133551,-771062,488678,-1009707,-490056,-454209,190433,-547540,-444139,-135626,-251469,-1017540,-858203,-688244,90491,-215692,-306612,-357740,92503,261242,349622,-79827,372832,46294,--,
现金及现金等价物净增加额(万元),-989679,1464566,414976,615180,115134,-126535,-372083,-336608,-160963,248871,-70195,179047,674148,65009,35928,-36816,342994,-603055,-529270,-396251,-559772,889569,-72578,42627,-23556,-111024,33673,--,
总资产(万元),14147452,14915228,15293062,14894056,13172150,12015892,12315107,11461331,11061107,10643660,11370134,11109187,10919593,9725973,10777213,9950580,10102424,7716220,7699009,7109378,6688157,6334110,--,4558879,4217046,4134857,3890214,--,
流动资产(万元),8987289,9749249,10171591,9800111,8150029,7072941,7491492,6884109,6675339,6421453,7604365,7455025,7420902,6313886,7675651,6967587,7256989,5136913,5316273,4996147,4681159,4397172,--,2795460,2518693,2438395,2357461,--,
总负债(万元),8974595,9850257,10375680,10144945,9123982,8059328,8522314,7761153,7346332,7004247,7874189,7671124,7531636,7096745,8217966,7443414,7657058,5302766,5408249,4918294,4495657,4170954,--,3833889,3495838,3402972,3535650,--,
流动负债(万元),8014463,8833089,9246592,9031357,8020433,7400763,7952865,7274594,6862451,6520227,7304866,7109095,6957305,6525381,7714014,6939748,7253962,5006443,5110270,4587142,4181780,3791347,--,3433913,2984737,2838049,3029769,--,
股东权益不含少数股东权益(万元),4982070,4879412,4740265,4574199,3865408,3778034,3618156,3536104,3554631,3481550,3367004,3297906,3250563,2496905,2427547,2374577,2321099,2291112,2209483,2131821,2135865,2108501,--,671028,670408,681925,309807,--,
净资产收益率加权(%),2.04,12.5,9.31,5.77,2.29,11.43,6.75,4.32,2.07,10.52,7.42,5.35,2.44,12.57,9.16,6.63,2.68,8.69,5.94,2.97,0,18.57,--,5.67,0,22.8,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
