报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.32,0.23,0.1,0.38,0.31,0.23,0.07,0.44,0.33,0.24,0.07,0.42,0.28,0.19,0.39,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,2.33,--,2.29,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,0.17,--,0.24,--,-0.25,0.04,--,--,
主营业务收入(万元),106117,71874,31663,139877,93054,61432,26584,133949,89702,57370,25546,123384,83705,54465,112759,91403,68800,
主营业务利润(万元),37225,25214,11384,48529,33116,21731,9413,45553,31025,19831,8546,42420,29167,19684,38008,26347,15450,
营业利润(万元),16227,10821,5699,19377,14692,10480,4010,20540,13791,9379,3559,19702,13127,9769,18057,12300,5266,
投资收益(万元),1022,272,--,948,818,387,387,98,22,22,19,207,205,157,32,1,--,
营业外收支净额(万元),2201,2078,64,2895,3345,2830,61,3227,3439,3112,80,1882,1658,276,996,265,157,
利润总额(万元),18428,12899,5763,22272,18038,13310,4071,23767,17230,12491,3638,21584,14785,10045,19053,12565,5422,
净利润(万元),15111,10685,4661,18071,14749,10950,3157,19442,14030,10149,2892,17567,11843,8136,15063,10519,4616,
净利润(扣除非经常性损益后)(万元),12547,9052,3233,14266,11198,8204,2776,16183,11256,7647,2808,15808,10280,7780,12680,9176,4483330,
经营活动产生的现金流量净额(万元),-3314,-1839,-4403,6356,-6876,2458,-5473,13676,-907,7098,-13546,9967,-13428,-10704,1643,-1645,4662,
现金及现金等价物净增加额(万元),-930,2440,-13858,6375,-7627,2387,18194,16632,26196,-1481,-16714,12276,-6922,4128,4956,3898,-8756,
总资产(万元),258366,259683,246609,233465,207741,195731,177097,172866,171041,130203,--,125394,--,--,138525,97521,62244,
流动资产(万元),197158,176929,165008,151461,154772,146564,135095,130965,128879,87355,--,81621,--,--,94389,67967,43848,
总负债(万元),89804,95513,86710,78394,56057,47833,34166,33092,36679,31761,--,28642,--,--,59340,46548,35388,
流动负债(万元),78746,84589,85918,77589,55240,47003,33323,32236,35811,30881,--,27737,--,--,45922,38957,35388,
股东权益不含少数股东权益(万元),168650,164223,159938,155093,151703,147904,142931,139774,134362,98442,--,96752,--,--,79186,50973,26856,
净资产收益率加权(%),9.31,6.67,2.98,12.23,10.11,7.56,2.23,17.55,13.69,10.4,2.95,19.97,13.92,9.77,25.15,27.81,18.79,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
