报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.28,0.21,0.12,0.34,0.23,0.19,0.09,0.27,0.14,0.11,0.01,0,0.04,0.05,
每股净资产(元),--,--,3.18,3.07,--,2.93,--,2.73,2.62,2.44,2.36,1.88,1.64,1.6,
每股经营活动产生的现金流量净额(元),--,--,--,0.18,--,--,-0.04,0.39,--,-0.06,--,--,0.21,-0.44,
主营业务收入(万元),41594,31851,16470,46572,31291,24059,9647,37476,18468,29824,7736,21368,15215,7463,
主营业务利润(万元),17914,14007,7152,20668,14374,10851,5418,17176,9054,11082,2190,9680,5037,3323,
营业利润(万元),15181,10922,6293,17480,12316,9704,5085,14450,7331,4975,470,642,1361,1299,
投资收益(万元),541,301,--,352,--,--,--,229,229,184,--,--,815,1648,
营业外收支净额(万元),35,41,41,53,-42,0,1,150,86,851,191,386,263,173,
利润总额(万元),15216,10963,6335,17533,12274,9704,5086,14600,7417,5826,661,1028,1623,1473,
净利润(万元),12997,9353,5478,14961,10341,8285,3993,12254,6173,4911,499,125,1316,1551,
净利润(扣除非经常性损益后)(万元),11715,8884,5382,14434,--,8230,3995,11602,5797,4062,337,4817,400,2,
经营活动产生的现金流量净额(万元),-2551,-893,191,7991,-478,783,-1863,17324,13538,-2587,-627,-1809,7123,-14552,
现金及现金等价物净增加额(万元),-28660,2052,-30389,5193,-23295,-1024,-2775,22912,20727,-1009,9222,4111,-236,-7272,
总资产(万元),218513,212656,175730,172234,--,158709,--,156261,143519,131285,136621,122435,106779,123493,
流动资产(万元),155688,151571,114036,110036,--,97094,--,93980,81246,69016,66225,52436,36445,36198,
总负债(万元),42650,40433,33744,35364,--,27898,--,34352,26550,22630,31207,45397,52239,70413,
流动负债(万元),34886,32603,25845,27324,--,20269,--,26582,18966,14905,20045,18474,19788,30274,
股东权益不含少数股东权益(万元),175863,172222,141987,136870,--,130812,--,121909,116968,108655,105414,77039,54396,53080,
净资产收益率加权(%),8.55,6.41,3.92,11.56,--,6.54,3.22,10.61,5.44,4.84,0.55,0.2,2.43,3.67,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
