报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),-0.02,-0.04,-0.05,0.09,-1.86,-0.03,-0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,-0.72,--,--,-0.69,--,-0.8,--,0.29,0.3,0.31,2.14,2.18,2.15,2.12,2.43,2.41,2.41,2.4,2.52,2.51,2.51,2.4,2.37,2.37,2.38,2.36,2.55,2.52,4.45,4.11,3.88,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,-0.1,0,0,0,-0.5,0,0,0,-0.05,0,0.2,--,0.01,-0.08,-0.01,0.03,0.11,--,0.23,-0.12,--,--,--,--,--,
主营业务收入(万元),24398,17723,6024,10700,0,124,41,815,524,248,182,168,0,--,0,278,278,0,94,1540,1115,1115,512,4508,2908,3436,18601,11294,27346,14374,28597,18347,43071,24408,37154,19654,32461,28013,19872,
主营业务利润(万元),4868,3085,795,3937,0,-14,3,482,199,66,46,42,0,--,0,153,153,0,18,652,473,473,121,1352,875,568,2146,1641,4124,2147,5318,2851,10638,7052,5308,2967,8330,4219,3400,
营业利润(万元),-458,-440,-912,1902,-150,-170,-67,128,93,41,39,35,-361,-223,-22590,-849,-644,-268,-2029,-619,-166,-132,-1271,803,510,--,-1576,116,297,459,-58,605,5705,4636,5464,0,4659,3536,2979,
投资收益(万元),--,--,--,-261,-257,--,--,--,--,--,--,--,-8,-3,83,119,807,-139,-1384,656,187,267,-518,0,0,0,-53,0,-53,0,1301,0,0,0,0,0,-408,--,0,
营业外收支净额(万元),411,-32,--,157,-34397,-375,--,-1,-1,-0,--,--,0,--,-12127,0,0,0,-59,-1,0,-0,14,0,0,-0,1910,0,110,0,116,0,0,0,0,579,--,173,--,
利润总额(万元),-47,-472,-912,2059,-34547,-545,-67,127,92,41,39,35,-368,-226,-34634,-730,162,-408,-3472,36,21,135,-1776,803,511,--,280,170,354,452,1360,948,6546,5073,7111,3698,4378,3710,3353,
净利润(万元),-428,-760,-913,1694,-34547,-545,-37,45,54,41,39,27,-362,-221,-33654,-684,212,-399,-3401,28,18,118,-1765,306,169,134,211,118,220,224,812,680,4839,3879,5505,2498,3205,2864,2440,
净利润(扣除非经常性损益后)(万元),-778,-733,-913,1546,-39,-545,-37,45,54,41,39,27,-362,--,-33333,0,-595,0,-4394,0,-168,0,-1779,306,169,--,-2402,118,220,224,-543,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),1186,-2026,-2283,4504,-150,-204,-13,-320,-1168,3,14,6,-3,-1,-1878,-569,-597,74,-576,-904,-569,-694,-914,0,3723,--,261,-1424,-128,468,1995,--,4172,-1220,--,--,--,--,--,
现金及现金等价物净增加额(万元),-968,-2018,-2474,2425,22,-20,-22,-916,-822,944,14,6,-3,--,-12,191,196,0,-741,265,-644,0,716,0,4529,--,6246,-2354,2077,888,-186,--,-4731,-5414,--,--,--,--,--,
总资产(万元),62749,61728,62384,63297,326,984,1782,1679,1778,1377,221,36,22062,23646,23828,49816,52695,51563,53756,67575,57808,57371,58574,87131,86479,81690,66605,73881,80372,82717,82473,94131,93589,85094,89530,77875,44553,31925,21958,
流动资产(万元),25111,24052,25066,25936,326,900,1318,1218,1699,1312,221,35,9899,--,11386,9000,11607,0,27540,23174,16706,--,--,--,--,39966,0,0,--,0,0,39474,38827,39270,40457,44777,24412,21988,12723,
总负债(万元),15524,14835,16778,15644,48921,14825,14710,14525,14665,14754,15044,15024,16578,--,17950,9214,11201,--,13243,17085,11910,--,12820,38221,37760,33035,17374,25079,31604,33744,33880,40615,41013,33087,41279,35053,32472,23153,14196,
流动负债(万元),15287,14601,16778,15397,37721,14825,14710,14525,14665,14754,15044,15024,16506,--,17878,9139,11120,0,13154,16707,11814,--,--,--,--,28035,0,0,--,0,0,38868,39284,30611,38966,30490,28359,18595,12040,
股东权益不含少数股东权益(万元),47919,47588,45566,48347,-47900,-13370,-13110,-13052,-12819,-13098,-14127,-14292,5326,5492,5713,39502,40398,39787,39367,44982,44675,44670,44539,46670,46532,46497,44471,43964,43936,44057,43723,47352,46671,45809,42300,39945,9780,6550,6159,
净资产收益率加权(%),-0.89,-1.58,-1.94,-7.41,0,0,--,0,--,--,0,--,-149.31,--,-149.31,0,0.52,0,-8.28,0,0.04,0,-4.05,0,0.38,--,0.5,0.27,0,0,0,--,10.88,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
