报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2006-12-31,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,
基本每股收益(元),-0,-0,-0,-0,-0,-0,-0,-0.08,-0,-0,0,-0.05,-0.04,-0.03,-0.01,-0.26,-0.07,-0.05,-0.02,-0.1,-0.06,-0.04,-0.02,-0.12,-0.1,-0.07,-0.03,-0.09,-0.09,-0.06,-0.03,-0.04,-0.06,-0.07,-0.04,-0.56,-0.23,-0.14,-0.07,-0.28,-0.18,-0.12,-0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),-1.28,-1.28,-1.28,--,0,-1.28,-1.28,--,-1.26,--,-1.26,-1.26,--,-1.24,-1.22,-1.21,-0.97,-0.85,-0.92,-0.9,-0.87,-0.85,-0.83,-0.8,-0.75,-0.72,-0.68,-0.65,-0.65,-0.62,-0.59,-0.55,-0.6,-0.09,-0.41,-0.38,-0.05,0.04,0.11,0.18,0.28,0.34,0.4,0.72,-1.86,-1.74,-1.19,-1.18,-1.25,-1.2,0.39,0.44,1.2,1.22,3.65,3.64,3.67,3.63,3.62,3.6,3.54,3.53,3.52,3.52,3.02,2.86,3.82,3.58,3.43,0,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,--,--,0,0,0,0,--,0,-0,0,0.02,0,0.01,-0.02,-0.02,-0.01,0,0.01,-0.01,0,-0.01,0.02,0.01,0.02,0.01,-0.27,--,0,0,0,0,-1.05,0,-0.86,0,0.08,0,0.4,0,0.44,0,0.34,--,-0.28,-0.2,0.3,0.01,0.65,--,-0.24,-0.56,0,--,--,--,
主营业务收入(万元),0,0,0,0,0,0,0,34,0,0,0,2,0,0,0,4001,3199,1869,609,5623,4562,2947,1053,5320,3334,2213,2173,7914,6844,3879,2173,12350,9966,4643,1169,19268,18666,16501,9018,54594,38618,24763,11764,53641,17566,82644,63428,42235,19527,117956,99596,70377,40504,146560,106948,67278,37129,125258,91422,57743,25031,104335,51185,117034,57042,87095,37988,78149,36504,70152,32672,35851,68055,
主营业务利润(万元),0,-64,0,0,0,-47,0,-7,0,0,0,-0,0,0,0,173,149,93,18,221,175,112,37,206,142,76,92,4736,297,156,92,493,414,181,58,-2664,-2541,-1367,-617,-1368,-1069,-761,-309,-3282,-1099,1830,2989,1118,-59,2836,4484,3620,2858,4161,3592,1284,3116,8708,6955,5185,1227,7623,5962,16611,9127,17496,9830,13013,4786,10221,6988,8685,7728,
营业利润(万元),-7,-64,-54,-145,-8,-47,-14,-2873,-69,-45,-23,-1616,-1431,-1072,-377,-10379,-2417,-1630,-851,-3467,-2558,-1709,-842,-4397,-3380,-2321,-1052,-3913,-3076,-2169,-1052,-2970,-3288,-2338,-1206,-13093,-9949,-6188,-3100,-11205,-6470,-4252,-2188,85561,-4176,-23482,-5226,-4783,-1637,-38533,-32951,-31236,329,-56064,1178,157,2195,5624,4956,3572,664,6572,5670,13386,7655,13073,7550,10833,3686,10311,5342,9206,8426,
投资收益(万元),--,--,--,--,--,--,--,-2200,--,--,--,-335,-335,-335,--,-258,0,--,0,3,3,1,1,--,0,--,0,--,0,--,0,0,--,--,0,373,373,373,373,--,--,--,--,-1930,--,-1154,0,0,0,-17815,0,0,-495,-953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
营业外收支净额(万元),--,-6,-2,-0,-0,0,0,118,-1,-1,--,18,--,--,--,770,-1,-1,--,1,256,250,--,--,--,--,--,645,3,4,--,1564,1206,-46,-33,-7396,1264,922,561,933,14,0,-0,96,-0,123,0,0,0,-35910,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,--,0,0,--,--,90,
利润总额(万元),-7,-70,-56,-145,-8,-47,-14,-2755,-70,-46,-23,-1598,-1431,-1072,-377,-9609,-2418,-1630,-851,-3466,-2302,-1459,-842,-4397,-3380,-2321,-1052,-3267,-3073,-2165,-1052,-1406,-2082,-2384,-1239,-20489,-8685,-5266,-2539,-10271,-6456,-4252,-2188,83757,-4171,-18882,489,927,-1637,-92258,-32951,-31236,-166,-57016,1178,157,2195,5624,4956,3572,664,6572,5670,13389,7659,13073,7550,11555,4408,10311,5361,9206,8516,
净利润(万元),-7,-70,-56,-145,-8,-47,-14,-2755,-70,-46,-23,-1596,-1431,-1072,-377,-9282,-2393,-1613,-839,-3426,-2275,-1444,-834,-4365,-3360,-2313,-1050,-3273,-3073,-2157,-1050,-1350,-2008,-2366,-1237,-19747,-8049,-4931,-2359,-9922,-6342,-4251,-2184,57286,-3870,-17821,1138,1460,-1461,-63457,-17540,-15867,-838,-46070,767,96,1385,3487,3072,2207,331,4782,4242,10081,5076,9540,5497,8512,3220,7404,3861,6711,6560,
