报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
基本每股收益(元),0.22,0.16,0.34,0.22,0.18,0.35,0.16,0.33,0.18,0.1,
每股净资产(元),--,2.22,2.06,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,0.26,0.46,--,0.16,0.21,0.08,0.18,0.86,1.74,
主营业务收入(万元),42890,30213,65358,46821,36627,68047,32676,56109,41058,30908,
主营业务利润(万元),17381,12193,25087,17820,14962,27012,12550,26526,17215,12505,
营业利润(万元),9419,6959,13852,9030,7347,14646,6229,13941,7559,4182,
投资收益(万元),83,64,19,0,--,--,--,--,--,--,
营业外收支净额(万元),-78,-46,273,69,102,-61,512,99,102,406,
利润总额(万元),9341,6913,14125,9099,7449,14586,6741,14040,7661,4588,
净利润(万元),7962,5894,12155,7848,6352,12434,5748,11976,6543,3928,
净利润(扣除非经常性损益后)(万元),7551,5595,10341,6635,6109,10696,5217,11910,6475,3585,
经营活动产生的现金流量净额(万元),10018,9283,16619,12252,5659,7495,2807,6536,7107,15678,
现金及现金等价物净增加额(万元),24191,5030,5289,2512,4680,-50,-269,-538,-1219,552,
总资产(万元),123414,102739,90141,--,92999,88272,87697,82555,63366,50183,
流动资产(万元),73876,56026,51309,--,57499,52588,55312,48808,33562,26771,
总负债(万元),20645,22670,15967,--,24627,26253,32363,31969,23757,17116,
流动负债(万元),14565,16522,10471,--,15843,17753,22486,21624,21177,13255,
股东权益不含少数股东权益(万元),102769,80069,74175,--,68372,62019,55334,50586,39610,33067,
净资产收益率加权(%),9,7.64,17.85,11.9,9.74,22.08,13.35,29.79,19.03,12.63,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
