报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),-0.39,0.05,0.05,0.12,0.07,0.06,0.02,0.62,0.51,0.34,0.33,1.59,1.06,0.69,0.5,1.82,0.99,0.7,0.25,1.3,1.52,1.02,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,5.02,--,--,5.74,--,--,4.88,3.73,2.32,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,0.07,--,--,-0.59,-0.4,--,1.01,0.81,0.63,--,
主营业务收入(万元),22809,13790,6158,40184,26581,17718,5524,57900,44299,29437,13444,67786,43202,25733,8582,30982,17005,10772,3521,20473,21342,16042,13190,
主营业务利润(万元),7775,4708,2052,14786,10153,6672,2149,22602,17022,11612,6014,29767,18685,11713,4126,14137,8203,5397,1673,9720,10679,7635,5615,
营业利润(万元),-8179,1253,1127,2540,1670,1424,525,14809,12664,8559,3566,15107,11240,6845,2204,6824,3483,2400,572,4437,5698,3335,3000,
投资收益(万元),22,-2,-4,-81,-77,-78,-62,-2,-2,-2,--,--,--,--,--,--,--,--,--,--,--,18,1,
营业外收支净额(万元),43,--,--,-0,-0,--,--,-3,-0,0,642,2861,954,954,811,1300,914,739,531,1395,1197,1016,189,
利润总额(万元),-8137,1253,1127,2540,1670,1424,525,14806,12664,8559,4208,17968,12194,7799,3016,8125,4396,3139,1103,5832,6896,4351,3189,
净利润(万元),-8024,941,937,2452,1398,1208,366,12827,10695,7084,3457,15527,10596,6764,2580,7094,3864,2747,966,5069,5932,3984,2859,
净利润(扣除非经常性损益后)(万元),-8892,83,79,2089,1077,900,60,11477,10660,7049,3440,15284,10582,6749,2580,7064,3836,2722,954,4916,5782,3849,2824,
经营活动产生的现金流量净额(万元),-5009,-6952,-532,-597,-9432,-9657,-3211,7609,8455,14184,-130,4588,-1732,720,456,-2755,-2299,-1546,-1064,3932,3144,2444,1281,
现金及现金等价物净增加额(万元),-523,-4370,-1896,-5721,-6879,-6438,-2299,-3178,-2540,3419,-239,23331,17878,20357,22539,-5176,-3981,-2409,-1638,3140,2175,1256,696,
总资产(万元),101604,107379,100077,105916,108988,104918,110648,112145,103367,96173,98428,100117,82367,69315,61170,37397,27796,--,--,24829,18899,13350,8717,
流动资产(万元),91029,90808,83497,89154,93738,89790,96170,98668,90467,83238,93039,94728,78896,66179,58305,34799,25994,--,--,23981,18145,12951,8390,
总负债(万元),39139,35970,29111,35413,39502,35130,39618,41480,34834,31251,34013,39159,26341,17122,11600,11788,5416,--,--,5814,4353,4285,2736,
流动负债(万元),39122,35953,29093,35395,39483,35111,39599,41461,34815,31231,34013,39159,26341,17122,11600,11788,5416,--,--,5780,4262,4280,2697,
股东权益不含少数股东权益(万元),62006,70971,70967,70503,69492,69793,71030,70665,68533,64922,64415,60958,56027,52194,49570,25609,22380,--,--,19015,14547,9065,5981,
净资产收益率加权(%),-8.84,1.34,1.33,3.47,1.98,1.7,0.52,19.57,16.48,11.07,5.52,32.02,23.83,17.16,9.59,31.97,18.75,13.64,4.95,30.48,50.41,51.92,58.92,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
