报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2005-09-30,2005-03-31,2004-12-31,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),1.4,0.69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,0.77,--,--,-1.69,-1.68,-1.67,-1.42,-1.45,-1.43,0.47,0.51,1.09,1.16,1.8,1.88,2.08,2.13,2.25,2.22,2.04,1.99,1.91,1.91,1.65,2.19,1.92,2.39,1.61,1.31,1.14,1.09,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,-0,0.06,0,0,0,-0.01,0,-0.46,--,-0.42,--,-0.87,0.04,0.03,0.09,0.89,0.63,-0.02,--,--,--,--,--,--,--,--,
主营业务收入(万元),7492,4678,--,0,0,0,993,940,0,433,1113,690,267,6220,3222,2177,905,3911,1849,10785,3219,22460,9839,4306,187,5564,5569,9545,4458,2829,2485,2232,
主营业务利润(万元),2225,1730,--,0,0,0,902,852,0,-9,286,21,-55,1247,840,494,285,2389,1437,5698,1212,8301,2077,2469,38,4493,947,1383,1493,684,--,--,
营业利润(万元),-1145,-918,--,-160,-304,-133,-3358,73,-348,-33925,-10079,-9497,-885,-5263,-3708,-3112,--,251,152,3182,283,4212,445,1913,-660,5331,0,1383,1493,684,--,--,
投资收益(万元),--,--,--,--,-89,--,-19,41,-0,-2619,-548,-519,3,-9890,-1479,-784,-266,-854,-131,-847,-10,196,-276,1756,0,560,24,1825,900,321,--,--,
营业外收支净额(万元),45552,45561,--,--,--,--,-198,0,0,-2233,0,0,0,-4,-2,-2,-2,-14,0,1054,0,-49,0,0,0,0,3,0,--,253,--,--,
利润总额(万元),44407,44643,--,-160,-393,-133,-3574,113,-348,-38777,-10638,-10028,-881,-15158,-5189,-3898,-701,-617,283,3389,686,4363,158,3701,-659,5869,943,3423,2399,1257,--,--,
净利润(万元),44407,44643,--,-160,-393,-133,-3574,113,-348,-38780,-10444,-9738,-765,-14514,-5025,-3821,-746,-1369,257,3384,684,3547,41,3135,-427,3895,806,2838,1744,1076,1133,1238,
净利润(扣除非经常性损益后)(万元),213,-971,--,--,-3491,-133,-3427,63,0,-36738,0,-9768,-762,-9353,-5202,-3938,--,-2305,126,2330,271,2199,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-2498,-3882,--,--,-50,8,-52,842,22,65,3894,-183,-534,-6835,--,-6220,--,-13090,527,454,1359,13337,9436,-271,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-376,-418,--,--,11,8,-4,892,22,-1206,-1124,-1109,-469,-6864,--,-6569,--,5178,14532,2395,-1697,-7223,-5937,10374,--,--,--,--,--,--,--,--,
总资产(万元),66649,69172,99,--,2350,2483,2722,6480,6293,6390,33997,34767,43646,47807,56518,57516,60295,60946,58845,41457,43506,50393,42575,50726,41561,37271,24181,30365,18603,18386,--,--,
流动资产(万元),5914,5336,0,--,372,352,587,4280,3713,3806,30814,31552,--,--,43369,0,45846,0,0,0,0,0,17041,31419,29451,25342,22542,23791,16912,15871,--,--,
总负债(万元),15014,16269,46237,--,27706,27578,27684,27754,28029,27778,26304,26355,26223,28329,27071,26840,--,26490,24241,7294,12046,18787,13238,21355,12664,8083,1790,8780,7566,9106,--,--,
流动负债(万元),12491,12953,46237,--,27706,27578,27684,27754,28029,27778,26304,26355,--,--,27071,0,26540,0,0,0,0,0,13238,21355,12324,7333,1711,8675,6518,8648,--,--,
股东权益不含少数股东权益(万元),51636,52903,-46138,--,-25356,-25095,-24963,-21275,-21736,-21388,6997,7654,16350,17392,26882,28085,31160,31906,33621,33219,30519,29835,28518,28554,24761,25188,22066,21192,11037,8989,7848,5441,
净资产收益率加权(%),--,0.23,--,--,--,--,0,0,0,0,0,-77.76,0,-58.88,--,-12.74,--,-4.21,5.47,10.73,0,0,--,10.98,--,--,--,0,0,--,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
