报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
基本每股收益(元),0.56,0.8,0.42,0.92,0.87,0.64,0.03,0.18,0.07,0.05,0.02,0.17,0.09,0.07,0.03,0.25,0.14,0.11,0.06,0.47,0.33,0.24,0.13,0.56,0.36,0.43,0.33,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,4.01,--,--,3.84,3.8,3.86,2.91,--,2.68,--,2.59,--,2.2,1.77,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,0.19,--,--,-0.02,0.11,-0.09,0.32,--,0.03,-0.14,0.74,--,0.63,0.18,
主营业务收入(万元),823183,550400,248508,966066,718114,498528,73161,298376,208123,131239,70923,321928,248042,173495,92683,279761,206753,148215,72124,273801,203476,138166,72632,314988,221291,285510,245399,
主营业务利润(万元),301894,218308,107024,347999,255560,158665,17714,66363,46581,31182,15771,66958,51659,36378,18819,74096,54684,37701,18122,74942,55513,37592,19397,80157,59564,73730,62309,
营业利润(万元),100165,82429,42133,97718,89142,65401,1073,6211,1865,1229,326,4829,2138,2038,1054,7742,4943,4026,2276,13100,10255,7837,4053,15990,11715,13426,10168,
投资收益(万元),1493,2858,53,3140,3579,1984,31,214,157,89,-30,2936,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),-1060,-756,74,-3018,684,514,67,435,365,250,289,1585,1183,703,139,958,674,355,81,2392,909,391,267,2618,571,585,752,
利润总额(万元),99105,81673,42207,94700,89826,65915,1140,6646,2230,1479,616,6414,3321,2741,1193,8700,5617,4381,2357,15492,11165,8227,4320,18608,12286,14011,10919,
净利润(万元),97458,80360,41793,86557,81270,57267,1327,7254,2867,1985,957,6653,3416,2822,1260,9510,5651,4361,2357,15411,11036,8073,4217,18488,12058,14133,10806,
净利润(扣除非经常性损益后)(万元),95542,78819,41199,28757,23180,1055,817,4647,1137,841,690,2107,2435,2119,1121,8551,--,4006,--,13019,10126,7683,--,15870,11487,13548,10054,
经营活动产生的现金流量净额(万元),-40793,-34888,-49436,-37692,-93761,-33903,495,-6007,-14507,-5806,1194,-5110,16257,7462,787,-2006,-874,4331,-3770,10681,8918,1015,-4495,24514,19321,20747,6004,
现金及现金等价物净增加额(万元),203825,188962,-37079,57679,-32819,-22521,-16699,20275,-468,6112,23625,-49879,1,-5969,-1569,18554,52568,61344,52163,-2445,-1389,-7060,-10117,15814,12699,19315,2837,
总资产(万元),1668576,1607417,1313162,1211138,1188070,1075140,219746,227428,229677,225860,242204,233788,228957,226998,233048,235967,209383,219165,209344,147250,132449,126775,--,139716,--,120104,97184,
流动资产(万元),1197696,1124085,937585,866536,862990,806200,192120,199518,201505,197170,213063,204422,199934,197456,209912,212352,190409,201795,192756,131036,117722,114290,--,129358,--,110857,87320,
总负债(万元),804784,761394,703987,643712,625529,536593,46682,55502,62445,57575,74679,67389,65656,61791,69354,73467,50741,64704,54433,51054,40628,37917,--,53940,--,47374,38586,
流动负债(万元),778652,736471,679033,617946,601861,513346,45765,55108,62013,57114,74178,66863,65656,61791,69354,73467,50741,64704,54433,51054,40628,37917,--,53940,--,47374,38586,
股东权益不含少数股东权益(万元),860216,842568,605731,563937,558661,534658,169221,167894,163064,163987,162958,162002,158764,160657,159095,157835,153793,152503,154911,96196,91821,88858,--,85777,--,72731,58598,
净资产收益率加权(%),13.9,12.61,7.15,17.43,16.72,12.5,0.79,4.41,1.76,1.22,0.59,4.17,2.16,1.77,0.8,6.3,3.84,3.01,1.73,17.25,12.62,9.33,4.8,23.19,16.31,21.52,20.84,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
