报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.21,0.16,0.04,0.49,0.27,0.17,0.04,0.52,0.35,0.17,0.04,0.62,0.38,0.19,0.05,0.56,0.41,0.51,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,3.69,--,3.27,--,3.08,--,2.52,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,0,--,-0.49,--,0.82,--,-0.19,--,--,
主营业务收入(万元),34670,17921,6366,52486,29116,15610,5079,40395,25368,14233,4080,33023,21112,12714,4051,31097,20917,28854,26095,17089,
主营业务利润(万元),9863,5642,1811,13643,8561,4823,1515,11057,7141,3870,1246,8689,5742,3427,1226,8305,5350,7180,6545,4064,
营业利润(万元),4094,1991,499,6111,3347,1527,394,4968,3117,1414,251,4259,2725,1421,268,3921,2860,3434,2951,1221,
投资收益(万元),-16,-13,--,-37,3,3,1,25,--,--,0,--,--,--,0,--,--,--,--,--,
营业外收支净额(万元),-29,-15,-10,-196,-172,10,-0,-57,125,152,138,346,137,79,78,99,57,70,-6,28,
利润总额(万元),4065,1976,489,5915,3175,1537,394,4911,3242,1566,389,4605,2862,1501,346,4020,2917,3505,2945,1249,
净利润(万元),3541,1728,413,5354,3005,1463,358,4315,2830,1382,329,3904,2381,1198,295,3522,2554,3055,2641,1077,
净利润(扣除非经常性损益后)(万元),3482,1727,397,5061,2851,1221,129,4088,2728,1253,212,3610,2265,1131,229,3437,2506,2996,2646,1053,
经营活动产生的现金流量净额(万元),-15281,-12758,-10166,9105,-6988,-5422,-440,-7511,-9427,-7270,-5248,-23,-3134,-3098,-3309,5174,-411,-1180,-33,-1655,
现金及现金等价物净增加额(万元),-15476,-12410,-10251,8433,-4362,-3137,-498,5859,5588,8493,10983,-1246,-4288,-4546,-3616,4482,170,198,-241,128,
总资产(万元),78490,75923,75008,82936,72057,68300,62159,65132,61188,58770,51488,40462,36158,34075,--,38705,--,31953,22746,17512,
流动资产(万元),72973,70481,69439,77357,66608,62877,57253,60195,56457,54092,47468,36524,32306,30181,--,34931,--,28187,19798,16964,
总负债(万元),25583,24880,25004,33341,24977,22851,17359,20659,18209,17243,10677,17172,14407,13502,--,19321,--,16085,14885,12321,
流动负债(万元),25383,24680,24804,33141,23820,21974,17142,20430,17972,16998,10425,17112,14340,13427,--,19237,--,16064,14857,12274,
股东权益不含少数股东权益(万元),52691,50822,49792,49379,46971,45370,44728,44371,42877,41429,40796,23277,21754,20571,--,19373,--,15851,7832,5191,
净资产收益率加权(%),6.94,3.44,0.83,11.42,6.52,3.21,0.8,10.52,11.53,5.8,1.03,18.31,11.58,6,1.51,20,14.91,23.34,40.55,27.07,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
