报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,
基本每股收益(元),0.55,0.34,0.13,0.5,0.31,0.19,0.14,0.78,0.53,0.35,0.15,0.75,0.31,0.55,0.27,0.38,0.23,0.16,-0.41,
每股净资产(元),--,--,--,--,--,--,--,--,3.21,3.03,--,2.83,2.39,2.08,1.93,1.36,1.2,0.82,0.65,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.33,-0.1,--,0.01,--,0.34,--,0.51,0.38,-0.04,-0.59,
主营业务收入(万元),69008,42145,16271,61931,41465,24588,9053,39423,27397,17501,6801,26897,11422,21805,8880,18053,8435,11844,2250,
主营业务利润(万元),25546,16631,6400,22343,14861,8849,3459,14450,9963,6201,2557,11797,4903,7980,3169,5471,2444,3430,321,
营业利润(万元),8773,5407,2059,7617,4952,3088,1345,5247,3339,2194,975,4576,1914,2919,1272,1683,941,470,-1326,
投资收益(万元),--,--,--,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),-103,-102,-103,-122,-90,-85,-97,1,21,0,2,126,28,399,338,228,50,220,19,
利润总额(万元),8670,5305,1956,7495,4862,3003,1248,5248,3359,2194,978,4702,1942,3318,1610,1911,991,691,-1307,
净利润(万元),7115,4388,1699,6510,4069,2523,1022,4457,2850,1870,816,4024,1665,2853,1389,1765,949,691,-1307,
净利润(扣除非经常性损益后)(万元),6737,4157,1683,5965,3625,2165,955,4359,2832,1856,814,3917,1641,2506,1102,1568,897,470,-1326,
经营活动产生的现金流量净额(万元),-11641,-4855,-15534,-2410,-3030,-2466,-1550,-149,-1777,-545,1108,34,-1021,1781,1082,2366,1924,-169,-2474,
现金及现金等价物净增加额(万元),-10526,-3942,-12140,-859,-7548,-11743,-11776,21217,-1329,440,-1631,2220,49,-246,-719,1154,2433,-1076,1414,
总资产(万元),135218,121858,109426,90987,78695,64634,55648,66564,40622,40861,--,35544,26637,21076,16586,17054,17083,14841,11663,
流动资产(万元),99269,93247,82360,70064,60959,47413,39144,49361,28341,26229,--,22432,16739,12985,10048,10380,10297,7825,4635,
总负债(万元),85160,74633,64327,47671,37891,25368,16438,28381,23300,24518,--,20262,13713,9817,6791,10248,11093,11400,8913,
流动负债(万元),79909,74429,64115,47452,37660,25134,16191,28131,23253,24471,--,20210,13657,9757,6726,7179,7270,6823,2913,
股东权益不含少数股东权益(万元),50058,47226,45099,43315,40804,39265,39210,38183,17322,16342,--,15282,12924,11259,9795,6806,5990,3441,2750,
净资产收益率加权(%),15.25,9.67,3.84,16.07,10.32,6.47,2.64,22.24,17.72,11.93,5.29,30.32,13.77,31.12,17.88,34.45,24.23,22.31,-50.19,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
