报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.13,0.09,0.05,0.28,0.22,0.19,0.12,0.44,0.31,0.21,0.09,0.38,0.26,0.53,0.56,0.57,
每股净资产(元),--,--,--,--,--,--,--,--,--,3.76,--,3.58,--,3.2,3.28,2.72,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,0.14,--,0.24,--,0.39,0.47,0.32,
主营业务收入(万元),10930,7328,3780,17431,13055,9105,4622,18747,13273,9041,4496,15634,11050,14234,13370,14052,
主营业务利润(万元),4244,2939,1528,7089,5473,3941,2116,8341,5892,4058,1963,7308,5286,7385,7184,7233,
营业利润(万元),1586,1121,568,2966,2198,1748,1003,4191,2909,1987,898,3526,2457,4015,4193,4141,
投资收益(万元),335,212,128,71,--,--,--,--,--,--,--,--,--,17,15,--,
营业外收支净额(万元),-17,-7,-2,557,562,602,505,-2,36,4,-2,46,4,33,-18,144,
利润总额(万元),1569,1113,566,3523,2760,2351,1508,4190,2945,1991,896,3571,2461,4048,4175,4285,
净利润(万元),1362,962,485,3021,2345,1978,1268,3527,2494,1674,751,3018,2072,3414,3511,3578,
净利润(扣除非经常性损益后)(万元),1057,757,371,2406,1732,1449,835,3490,2463,1670,753,2982,2072,3369,3512,3457,
经营活动产生的现金流量净额(万元),2215,2457,1100,3821,2338,1457,1021,2523,2646,1080,62,1944,1294,3095,2960,1991,
现金及现金等价物净增加额(万元),262,599,837,-7428,-8125,-7603,279,16874,1616,283,-389,-2495,-2403,2688,-1419,1078,
总资产(万元),50823,50508,51253,51419,49851,50603,50343,49766,33883,32913,--,31909,--,30018,25877,21034,
流动资产(万元),33157,32853,33808,33788,33165,34216,34048,33482,17457,16407,--,15213,--,15844,13005,12852,
总负债(万元),2441,2525,2687,3338,2446,2505,2955,3646,3173,3024,--,3414,--,4540,5213,3907,
流动负债(万元),1982,2062,2216,2861,1962,2412,2861,3552,3084,2936,--,3335,--,4462,5120,3791,
股东权益不含少数股东权益(万元),48382,47983,48566,48081,47405,48098,47388,46120,30710,29890,--,28496,--,25478,20664,17128,
净资产收益率加权(%),2.82,2,1,6.4,5.19,4.2,2.71,11.71,8.43,5.73,2.6,11.18,7.82,17.47,18.57,23.32,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
