报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),-0,-0,-0,0,-0,-0,-0,0.01,0.01,0.03,0.01,2.78,-0,0,-0.02,-0.04,-0.02,-0.05,-0.02,-0.22,-0.09,-0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,0.11,--,0.05,--,0.04,--,0.05,0.04,0.04,0.02,0.01,-2.39,-2.19,-2.02,-2,-1.98,-1.96,-1.93,-1.91,-1.75,-1.71,-0.31,-0.33,-0.36,-0.32,-0.3,0.05,0.04,0.13,0.13,1.26,1.53,1.96,1.95,1.94,1.89,1.91,1.81,2.14,2.39,2.15,1.94,1.86,2.01,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.07,-0.04,0,0,0,0,0,0,-0,0,0.04,0,0,0,0.02,0,0.01,0,-0,0.02,-0.05,-0.06,0.11,--,0.03,-0.01,--,--,--,--,--,--,--,
主营业务收入(万元),68,61,0,279,166,43,0,1359,1359,2128,1138,500,34,83,0,0,0,0,0,0,0,--,454,957,454,229,1695,1227,836,339,2012,9985,65583,36651,53169,9111,36104,45548,78593,42457,59423,29666,55564,52457,56287,
主营业务利润(万元),66,61,0,147,92,-18,0,330,330,1276,1064,340,5,44,0,0,0,0,0,0,0,0,96,185,96,54,453,338,220,104,394,1265,7310,8189,11836,718,5756,751,5264,4585,4673,3023,6693,--,--,
营业利润(万元),-25,-9,-29,29,-2,-96,-29,233,276,1189,240,336,-0,46,-253,-402,-166,-472,-229,-7140,-2622,-392,1257,342,-1201,-545,-6247,-1634,-1638,0,-32825,-2565,-8345,3648,10189,2529,5981,572,7411,0,6587,0,8728,--,--,
投资收益(万元),--,--,--,11,11,11,11,50,50,--,--,--,--,--,--,--,--,--,--,--,--,--,-384,-227,-265,-29,-609,-71,-433,-194,-4225,110,-313,-143,219,75,-1083,118,25,23,2077,2,13,--,--,
营业外收支净额(万元),--,--,--,19,--,--,--,52,52,0,--,79200,-117,109,-651,-1292,-651,-1302,-651,-1269,-660,-1319,-799,-645,0,-167,-10799,-1021,-1021,0,-6693,0,-1576,0,29,0,--,0,0,-35,0,-49,--,--,--,
利润总额(万元),-25,-9,-29,48,-2,-96,-29,285,329,1189,240,79536,-117,155,-904,-1694,-817,-1774,-880,-8409,-3282,-1711,74,-531,-1948,-741,-17647,-2718,-3086,10,-43739,-2550,-10223,2410,10563,2411,5229,913,7529,5606,8796,3677,8644,--,--,
净利润(万元),-25,-9,-29,39,-8,-96,-29,207,244,864,151,79343,-115,134,-904,-1694,-817,-1774,-880,-8409,-3282,-1711,74,-535,-1948,-741,-17647,-2718,-3086,10,-43739,-2606,-11220,2001,8905,2041,4546,2432,6273,3884,6568,2199,4414,2632,2251,
净利润(扣除非经常性损益后)(万元),-86,-70,-29,6,-22,-107,-38,130,167,268,-768,146,-3,1,-261,-699,-241,-485,-235,-7158,-2622,-480,873,0,-1465,0,-7266,-1705,-2071,0,-37050,-2500,-9654,2918,6437,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-146,-103,-92,-120,-63,-54,-159,-1086,-880,1609,-148,-4554,-2344,-1564,9,3,2,3,7,-2,-0,4,1658,-18,2079,156,659,0,218,0,-95,593,-1773,-2433,4285,--,1036,-470,--,--,--,--,--,--,--,
