报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),--,-0.01,-0.01,-0.01,--,-0.01,-0.01,--,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,--,-0.04,-0.04,-0.04,--,-0.07,-0.04,-0.04,--,-0.08,-0.04,-0.04,--,-0.06,-0.05,-0.04,-0.01,-0.09,-0.05,-0.04,-0.11,-0.13,-0.12,-0.13,-1.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),-1.98,-1.98,--,-1.96,-1.96,-1.99,--,-1.95,-1.99,-1.98,-1.95,-1.95,--,-1.97,-1.93,-1.93,-1.93,-1.96,-1.93,-1.92,-1.89,-1.89,-1.86,-1.85,-1.81,-1.81,--,-1.77,-1.74,-1.73,-1.75,-1.71,-1.67,-1.67,-1.63,-1.62,-1.58,-1.51,-1.37,--,--,-0.19,-0.15,0.66,0.67,2.34,2.37,2.42,2.44,2.59,2.59,2.58,2.59,2.7,2.68,2.6,2.58,2.57,2.69,2.54,1.79,1.7,2.35,1.97,1.95,2.26,1.8,1.55,1.49,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.02,0,-0,0,0,0,-0.01,--,--,0,0,0,-0.18,0,0,0,0.21,0,0,0,-0.32,0,0.39,--,0.05,0.08,0.29,-0.26,-0.42,-0.06,-0.1,--,--,--,--,--,--,
主营业务收入(万元),4,32,0,0,0,2,1,1,1,17,7,7,5,31,25,6,4,131,128,51,47,95,66,51,21,105,33,13,8,31,30,22,18,154,121,92,520,1676,1204,751,1948,681,512,346,1614,1415,1046,721,7279,5749,3865,844,13418,11367,8300,2700,15367,8134,12542,6836,17207,9298,16557,1713,6973,5481,13076,8264,7839,
主营业务利润(万元),-5,6,-18,-12,-7,-23,1,1,0,-54,-62,-61,-62,-2,-4,4,4,5,5,-2,0,-17,-16,-20,-9,15,9,1,1,13,12,10,8,99,72,53,-215,167,119,200,140,151,125,-1,-301,-368,-201,-159,2231,1859,1202,66,4814,4971,3778,1289,7488,3858,5741,2794,7686,4314,7125,518,2647,1833,3369,1954,1818,
营业利润(万元),-63,-144,-196,-134,-58,-214,-181,-130,-73,-285,-266,-211,-140,-229,-225,-155,-64,-1050,-1034,-973,-73,-1938,-1093,-1020,-121,-2123,-1073,-1004,-114,-1645,-1139,-1050,-135,-2338,-1274,-1143,-1716,-3383,-3086,-3368,-45285,-21229,-20217,-179,-46575,-2395,-1723,-403,-4084,-6,-23,-337,590,3604,3151,637,4703,3009,4562,1706,6335,3556,7398,370,2647,0,3376,1955,1818,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,189,--,11,13,3,0,-169,3,3,0,6,3,3,0,6,3,3,0,6,3,1462,215,700,245,527,0,1027,501,2,5,4,
营业外收支净额(万元),15,0,31,0,--,--,--,--,--,-42,-36,-36,-19,--,--,1,1,-0,-0,-0,--,--,--,--,--,0,0,0,--,-44,-54,-54,--,-2,--,--,-1293,-0,-2,-27,-1586,0,0,0,-18,0,0,0,-1,5,5,42,-46,-13,-11,0,0,0,-0,0,-5,0,0,0,0,89,--,--,--,
利润总额(万元),-48,-144,-165,-134,-58,-214,-181,-130,-73,-326,-303,-248,-159,-229,-225,-154,-63,-1050,-1034,-973,-73,-1938,-1093,-1020,-121,-2123,-1072,-1004,-114,-1689,-1193,-1104,-135,-2340,-1274,-1143,-3009,-3383,-3088,-3395,-46871,-22800,-21798,-179,-46762,-2566,-1720,-403,-4079,2,-14,-295,550,3595,3143,637,4709,3012,6024,1920,7030,3801,7926,372,3817,2421,3385,1968,1816,
净利润(万元),-47,-142,-165,-132,-57,-211,-179,-128,-72,-322,-300,-246,-158,-225,-221,-152,-62,-1046,-1031,-971,-72,-1932,-1088,-1016,-119,-2121,-1070,-1002,-113,-1680,-1190,-1102,-134,-2318,-1274,-1143,-3003,-3377,-3085,-3376,-46368,-22342,-21345,-177,-46268,-2530,-1697,-393,-3849,33,10,-276,319,3178,2775,551,3956,2560,5145,1245,5959,3174,6337,311,3091,2009,2307,1682,1544,
