报告日期,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,
基本每股收益(元),0.28,0.37,0.32,0.44,0.37,0.66,0.28,0.74,0.39,0.2,0.02,-0.46,-0.12,-0.43,-0.12,0.02,-0.06,-0.54,0.05,-0.67,-0.08,
每股净资产(元),2.2,1.92,1.88,1.56,1.48,1.77,1.39,1.55,0.81,0.42,0.1,0.07,0.36,0.48,0.79,0.92,0.84,0.89,1.61,1.58,2.17,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.27,-0.11,-0.14,0.31,0.09,-0.31,-0.16,
主营业务收入(万元),36397,57770,36077,66910,42804,57127,31616,53853,17796,19751,5012,4979,1574,4907,2745,11391,4862,4856,3876,5038,2050,
主营业务利润(万元),31508,48546,31824,58386,39042,50034,27668,47249,17084,18564,4732,4052,1125,3617,1969,9299,3910,3746,3530,3664,1639,
营业利润(万元),12339,15791,13345,17607,15427,15604,8389,11859,5245,896,169,-3863,-1385,-3077,-854,155,-393,-3808,373,-4796,-522,
投资收益(万元),725,2097,1151,1789,721,1850,-12,2239,239,773,143,-37,5,-70,-100,92,15,118,-38,-205,-105,
营业外收支净额(万元),-5,-173,-100,8,-3,1194,200,1151,1053,601,2,516,514,-82,8,8,-18,-124,1,-123,-58,
利润总额(万元),12334,15618,13245,17615,15424,16798,8589,13010,6297,1497,172,-3346,-871,-3159,-846,163,-411,-3932,374,-4920,-580,
净利润(万元),9735,12787,11128,15477,12881,14461,6212,10530,5583,2932,172,-3346,-871,-3155,-849,145,-408,-3930,387,-4864,-555,
净利润(扣除非经常性损益后)(万元),9073,11011,10029,13646,12274,12475,6304,8671,5513,1438,--,-3826,--,-3020,-911,32,-425,-3821,386,-4749,-506,
经营活动产生的现金流量净额(万元),19601,16921,16633,17054,21070,17855,17785,30403,13258,776,-3028,5338,1442,-4745,-1953,-837,-988,2233,666,-2252,-1180,
现金及现金等价物净增加额(万元),20085,18802,18109,-2242,-5342,3940,-43400,37791,-6770,3745,-5138,4422,-33,-1494,-1676,-2958,-3733,2655,150,-3415,-1916,
总资产(万元),136482,112324,112754,97702,99917,78770,75429,57174,31199,18987,8923,11385,7521,6063,9228,11585,12168,12949,12691,12587,16815,
流动资产(万元),99957,73918,72345,55741,64618,57003,69880,51679,25418,14090,5885,8122,4351,1482,4426,5423,5688,6257,4667,4414,6129,
总负债(万元),59797,45386,47643,43632,48422,40110,44961,32866,19597,12980,8214,10848,4856,2528,3473,4893,6042,6416,949,1020,874,
流动负债(万元),59515,45099,47351,43632,48422,40110,44954,32844,19421,12801,8036,10667,4456,2528,3473,4893,6042,6416,949,1020,874,
股东权益不含少数股东权益(万元),76685,66938,65269,54141,51590,38709,30460,24248,11603,6007,709,537,2665,3535,5754,6694,6141,6547,11759,11552,15880,
净资产收益率加权(%),13.56,21.12,18.64,33.33,28.53,45.94,22.71,94.03,63.46,61.38,27.55,-179.71,-28.08,-61.67,-13.54,2.19,-6.43,-45.25,--,-34.73,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
