报告日期,2018-12-31,2017-12-31,2016-12-31,2010-12-31,2009-12-31,2004-12-31,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),-0,-0.01,6.92,-0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),-0.04,--,--,-3.93,-3.9,-3.07,4.21,4.24,4.79,4.77,4.74,4.71,4.82,4.78,4.7,4.67,4.82,4.69,4.05,3.85,3.62,3.53,3.28,2.13,3,2.54,4.57,2.11,1.99,0,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,-0,0,-2.37,0,0.61,0,0,0,0.27,0,0.34,--,-0.37,--,0.8,0.23,0.17,0.56,--,-0.28,--,--,--,--,--,--,0,--,--,--,
主营业务收入(万元),80081,0,0,0,0,1189,2292,21408,18919,12903,6983,31601,20704,15704,4433,19125,16577,13183,30656,13385,28208,15293,29706,11299,22114,7027,11063,4966,4826,0,9918,6652,5197,
主营业务利润(万元),2806,0,0,0,0,-49,742,6796,6802,4176,1789,10261,7633,5433,1827,9618,9403,7521,16123,7050,14014,7539,12440,5516,10149,3562,4284,2061,1764,0,0,0,0,
营业利润(万元),-513,-146,-52,-894,-1723,-106243,-616,-85,2861,2098,1012,3820,4458,3201,1116,5408,7824,6067,14252,6405,13292,7459,13086,5955,12840,0,7254,2061,1764,0,0,0,0,
投资收益(万元),417,--,--,0,--,-18237,0,-2384,0,0,0,-2,18,18,0,-18,972,360,87,144,12,146,106,0,0,0,0,0,0,0,0,0,0,
营业外收支净额(万元),37,--,198545,88,308,-49244,0,-11223,-208,-196,6,-588,22,9,0,-154,-48,0,-344,0,1503,0,0,0,0,10,0,--,--,0,--,--,--,
利润总额(万元),-476,-146,198493,-807,-1415,-173724,-616,-13691,2654,1902,1019,3841,4669,3398,1129,5236,8748,6337,13995,6973,16037,7619,14021,5961,12991,4610,7402,2062,1894,88,1170,777,426,
净利润(万元),-304,-146,198493,-807,-1415,-173724,-613,-13982,2294,1609,845,2917,3669,2579,892,5422,7248,5051,10761,5582,13391,6539,11790,5074,10970,3923,6202,1606,1315,59,1092,754,268,
净利润(扣除非经常性损益后)(万元),-452,-146,-52,-894,-1723,-113354,0,-761,0,1804,0,2895,3459,2412,--,4366,--,5141,11105,5582,10659,--,--,--,--,--,--,--,--,0,--,--,--,
经营活动产生的现金流量净额(万元),-2094,-8,14,-10,2,-67935,-195,17394,16227,14495,11137,7616,0,9719,--,-10637,--,22993,6001,4483,14619,--,-7222,--,--,--,--,--,--,0,--,--,--,
现金及现金等价物净增加额(万元),289,-8,14,-10,2,-53447,-2102,5955,6237,3295,2486,4289,0,-528,--,45824,--,56336,-15754,-17744,1992,--,18857,--,--,--,--,--,--,0,--,--,--,
总资产(万元),36152,288,322,2132,2168,41950,221007,224734,239014,227917,231441,237509,199643,201195,206433,215313,228218,240375,165218,155884,144052,118550,108638,61347,55622,47416,43007,20534,15590,9780,--,--,--,
流动资产(万元),24216,285,319,2129,2163,4796,137564,140685,138197,134390,--,--,0,--,121173,0,128171,0,0,0,0,63737,66390,28880,24705,29587,30664,14692,12070,8146,--,--,--,
总负债(万元),39815,21914,21802,114721,114026,130013,100213,103073,100614,90221,94535,101466,60508,63314,69541,79296,87984,103521,60887,53915,48108,25461,21992,11266,10655,7456,6849,8208,4840,204,--,--,--,
流动负债(万元),24795,8219,8108,114721,114026,129920,100041,102901,100419,90026,--,--,0,--,69251,0,87896,0,0,0,0,25404,21934,11266,10655,7363,6849,8208,4590,204,--,--,--,
股东权益不含少数股东权益(万元),-3759,-21626,-21480,-112589,-111858,-88063,120797,121410,137387,136702,135938,135093,138024,136935,134803,133911,138245,134483,101839,99526,93702,91465,84926,48492,43363,38616,34752,11514,9933,9576,--,--,--,
净资产收益率加权(%),--,--,--,--,--,--,0,-10.91,0,1.18,0,2.18,0,0,--,4.4,--,4.27,11.01,0,0,--,19.59,--,--,--,0,0,--,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
