报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.07,0.03,0.02,0.21,0.29,0.2,0.1,0.34,0.28,0.18,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),4.41,4.36,4.35,4.34,4.42,4.32,4.38,4.27,4.21,4.11,4.12,3.94,3.87,3.77,3.77,3.8,3.79,5.6,5.47,5.25,5.04,5.22,5.08,4.88,4.75,4.63,4.53,4.44,4.47,4.36,4.24,4.19,4.08,3.95,3.84,3.49,3.58,3.29,3.5,3.18,--,--,--,--,
每股经营活动产生的现金流量净额(元),0.47,1.04,0.27,0.92,0.37,0.45,0.29,0.45,0.2,0.52,0.4,1.37,0,0,0,0.04,0,0,0,1.65,0,--,0,0.61,0,0,0,0.48,0,0.18,--,0.42,0.25,0.61,0.09,0.36,0.17,0.09,--,--,--,--,--,--,
主营业务收入(万元),2502485,1544037,668343,3725932,2993522,1826688,782772,2611248,1895951,1221268,598422,2220088,1592593,963928,437179,1988521,1567386,1096789,547253,1945301,1404821,896789,427925,1273189,832055,510414,201243,787548,578295,378013,175970,723715,359302,585668,259764,509111,236449,485896,225079,372400,168123,325806,340016,273184,
主营业务利润(万元),143164,84109,37886,268368,260792,176078,76675,291633,209007,141933,--,260633,187208,105522,21173,201758,186988,156432,83874,204588,135799,91113,52460,136503,86917,58260,21858,95861,68352,41795,12560,88215,47465,99292,47234,82450,39675,82681,39587,55463,17713,50960,59015,55187,
营业利润(万元),27120,9673,5640,87855,122292,87002,37776,172868,116714,73184,37952,124845,91639,50135,3904,129780,120366,103863,51833,147764,97439,69814,42318,107086,70981,48905,17622,85161,61317,37381,10872,76871,43028,86484,42505,80721,38727,80527,42027,61356,21038,56284,59841,56523,
投资收益(万元),0,0,--,12,-4,--,0,8293,1573,63,0,15064,14103,14103,14060,-10343,-6650,-6952,-1209,-6229,-392,-392,0,-4276,1618,-466,1093,2786,1046,48,--,42,0,1731,376,4689,3745,4903,2097,0,0,0,0,0,
营业外收支净额(万元),14,-270,126,-7851,--,-12937,--,-21092,--,--,--,-10845,0,0,0,-26,0,0,0,-548,0,-39,0,-4823,35,0,48,-9106,67,53,939,418,0,-6,0,4,0,0,0,0,0,0,0,0,
利润总额(万元),27134,9403,5766,80004,109653,74065,38148,151776,113494,73255,37994,129064,105608,64143,17883,119411,113685,96898,50631,140988,96983,69383,42271,97987,72633,48487,18762,78842,62429,37482,11812,77330,43478,88210,42864,85414,42475,87418,46113,61356,21038,56284,59841,56523,
净利润(万元),20089,6933,4322,59926,82228,55481,28552,96187,77612,50117,25445,89468,69646,41865,11982,90287,87729,76582,33524,91680,64849,46357,28322,62647,49198,32333,12931,52865,41867,24720,7914,67071,28978,75262,28843,73156,36665,75041,39511,51918,17882,49534,53496,51164,
