报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),3.96,2.83,1.51,3.39,2.35,1.54,0.87,1.36,0.71,0.66,0.57,0.7,0.1,-0.01,
每股净资产(元),--,--,7.96,6.45,--,4.6,--,3.06,3.52,4.66,2.4,2.83,2.13,2.03,
每股经营活动产生的现金流量净额(元),--,--,-0.09,1.86,--,--,-0.27,0.49,--,1.71,--,--,-0.04,-0.02,
主营业务收入(万元),51821,34150,16543,36488,25347,15799,8217,16541,7098,7696,2720,3822,1040,1016,
主营业务利润(万元),28683,18683,8800,22139,15569,9804,5083,10641,4615,4878,1713,2120,607,474,
营业利润(万元),26516,17425,8759,19563,13704,8973,5030,7631,2873,3059,982,1116,46,-117,
投资收益(万元),--,--,--,23,23,23,--,24,4,29,--,--,--,--,
营业外收支净额(万元),-11,-0,--,-0,3,3,0,318,346,436,181,98,128,110,
利润总额(万元),26505,17424,8759,19563,13707,8976,5030,7949,3219,3495,1162,1214,174,-8,
净利润(万元),22524,14801,7486,16791,11642,7624,4290,6713,2682,3020,870,1063,154,-11,
净利润(扣除非经常性损益后)(万元),22218,14799,7486,16598,--,7549,4289,7038,2988,2763,782,980,45,-104,
经营活动产生的现金流量净额(万元),3941,58,-428,9222,2313,1390,-1336,2406,-2489,2627,-939,1672,-60,-27,
现金及现金等价物净增加额(万元),62233,83829,-3055,8917,2104,1310,-3410,3424,1259,1963,-2499,1623,-68,-79,
总资产(万元),208159,205748,103198,88407,--,57356,--,38273,25995,16414,9648,8912,4293,3633,
流动资产(万元),203732,201455,98896,86652,--,55630,--,36569,24519,16002,9439,8683,4243,3562,
总负债(万元),70336,72342,63741,56436,--,34553,--,23093,12557,9249,5956,4551,1096,590,
流动负债(万元),69006,71245,62845,55706,--,34047,--,22762,12312,9072,5954,4550,1002,399,
股东权益不含少数股东权益(万元),137823,133406,39457,31971,--,22804,--,15180,13438,7164,3692,4361,3197,3043,
净资产收益率加权(%),27.56,27.51,20.96,71.22,--,40.14,24.76,52.04,24.64,53.42,19.16,28.21,4.93,-0.37,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
