报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),1.13,0.71,0.32,1.06,0.93,0.63,0.32,1.14,0.88,0.58,0.38,1.17,0.94,0.84,0.37,0.81,0.5,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,3.57,--,4.01,3.46,2.82,2.36,2.19,1.53,1.23,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,0.51,--,1.14,1.12,0.99,0.39,0.81,0.51,-0.17,
主营业务收入(万元),51510,33912,17186,54625,38321,25079,12842,46725,33728,21942,10922,37670,26936,22889,10430,19633,15180,10389,
主营业务利润(万元),47853,31404,15725,51301,36457,23893,12342,44461,32023,20954,10526,36599,26392,22477,10256,19285,14762,9862,
营业利润(万元),9217,5719,2605,7973,6765,4484,2363,6523,5380,3374,2070,5793,5736,4906,2392,4621,2349,-576,
投资收益(万元),1606,1248,244,1174,849,485,--,2,2,2,--,--,--,--,--,--,360,35,
营业外收支净额(万元),-20,-20,0,-49,491,521,2,-413,-23,-68,5,646,286,615,260,638,931,401,
利润总额(万元),9197,5699,2606,7924,7256,5005,2364,6111,5357,3306,2075,6439,6022,5521,2652,5258,3280,-175,
净利润(万元),9069,5644,2606,8267,7239,4832,2348,6860,5253,3467,2257,7043,5647,5012,2238,4833,2999,-160,
净利润(扣除非经常性损益后)(万元),7183,4329,2341,6473,5878,3787,2320,7130,--,3494,2237,6460,5388,4457,2005,4234,1838,-551,
经营活动产生的现金流量净额(万元),5507,4431,-290,8618,5038,50,546,8016,3988,3079,1761,6868,6693,5910,2329,4848,3085,-1019,
现金及现金等价物净增加额(万元),-7167,-4203,5754,7981,-999,-2505,27029,1460,-1619,-1688,1189,754,468,310,-1248,-2873,2753,2778,
总资产(万元),85767,83499,72025,70398,63503,60530,59941,30821,--,26613,--,27817,23238,22768,19258,20993,11222,8869,
流动资产(万元),51163,49167,44449,42676,45758,42666,41913,12367,--,8235,--,9686,8238,7649,5885,7546,10104,7095,
总负债(万元),16718,18474,9943,11194,5051,4274,4521,6513,--,5204,--,3787,2462,5821,5084,7858,2020,1464,
流动负债(万元),9050,10800,9914,11159,5019,4227,4460,6437,--,5096,--,3647,2258,3431,2336,4463,1823,1186,
股东权益不含少数股东权益(万元),71898,67868,66343,63263,61884,59477,58594,27283,--,23890,--,25651,21008,16947,14174,13135,9202,7291,
净资产收益率加权(%),13.24,8.46,4.01,14.49,12.94,7.38,4.92,27.71,--,14.47,8.97,30.99,30.65,32.67,16.39,44.16,35.21,-3.33,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
