报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,
基本每股收益(元),1.6,1.16,2.71,1.24,0.85,2.3,1.54,0.71,0.45,0.01,
每股净资产(元),--,7.33,6.67,--,4.81,4.81,4.32,3.31,2.6,2.98,
每股经营活动产生的现金流量净额(元),--,1.34,1.75,--,1.27,1.31,--,--,-0.78,35.82,
主营业务收入(万元),78994,55922,101280,52449,36430,70441,51351,18920,26157,2398,
主营业务利润(万元),30764,21290,42521,22253,14876,32489,20879,8709,9207,718,
营业利润(万元),12810,9362,20246,9960,6840,17543,7775,3513,2439,21,
投资收益(万元),100,100,--,--,--,--,63,28,--,--,
营业外收支净额(万元),-4,-4,1482,-35,-2,899,158,-18,-25,-1,
利润总额(万元),12806,9358,21728,9925,6839,18443,7933,3495,2414,20,
净利润(万元),9619,6954,16262,7435,5124,13782,5727,2634,1671,15,
净利润(扣除非经常性损益后)(万元),9583,6931,15113,--,5115,13291,5687,2633,1991,15,
经营活动产生的现金流量净额(万元),9670,8049,10487,-109,7615,7885,2500,3548,-2875,358,
现金及现金等价物净增加额(万元),69826,-946,1965,-6202,7840,1295,2263,-1126,4905,-76,
总资产(万元),125016,52448,50335,--,40295,35322,23186,16473,13597,670,
流动资产(万元),109258,38721,42204,--,33077,29379,21984,16119,13433,669,
总负债(万元),9463,8484,10333,--,11422,6474,6858,4205,3962,640,
流动负债(万元),9463,8484,10333,--,11422,6474,6858,4205,3962,640,
股东权益不含少数股东权益(万元),115553,43963,40002,--,28872,28848,16327,12268,9634,30,
净资产收益率加权(%),22.47,16.57,47.23,--,16.31,60.88,45.1,24.05,99.51,69.14,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
