报告日期,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2009-09-30,2009-06-30,2009-03-31,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),-0,-0.01,-0,-0,-0.01,-0,-0,-0.03,-0.01,-0.01,-0.01,-0,-0.05,-0.01,-0.01,-0,-0.03,-0.03,-0.02,-0.01,-0.04,-0.05,-0.04,-0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),-1.67,--,-1.66,-1.67,-1.66,-1.66,-1.66,-1.65,-0.9,-0.9,-0.9,-0.9,-0.89,-0.86,-0.85,-0.86,-0.85,-0.84,-0.84,-0.83,-0.81,-1.36,-1.34,-1.32,0.27,0.24,0.84,1.74,1.76,1.79,1.8,2.12,2.18,2.19,2.22,2.9,2.9,2.9,2.9,2.27,2.22,2.14,2.05,2.22,2.09,2.74,2.21,1.98,3.51,1.93,1.61,1.14,1,
每股经营活动产生的现金流量净额(元),--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,0,-0,--,--,--,0,0,--,0,0,0,-1.49,0,0,0,0.27,0,0,0,-0.37,0,-0.17,--,0.36,-0.26,0.11,-0.06,0.08,--,0.27,0.57,--,--,--,--,--,--,--,
主营业务收入(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4015,325,7569,12927,3425,2018,8180,4388,3369,1476,4441,9641,6286,2918,25401,9681,39552,28089,20824,8738,31597,22289,22216,8172,15796,7734,14812,12718,8557,
主营业务利润(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338,20,1536,2361,289,176,904,949,988,282,-399,4752,3254,1622,15915,6433,28424,20871,10702,4340,16662,11330,8096,4136,5250,2477,2883,2140,1992,
营业利润(万元),-8,-229,-25,-13,-190,-91,-46,-676,-146,-123,-85,-10,-1287,-129,-94,-41,-851,-725,-534,-219,-1158,-1607,-1072,-524,1687,-1117,-26146,-2049,-1699,-1232,-9628,-3389,-1576,-1044,-15594,-748,-379,150,5022,2495,4113,2184,7139,3967,14944,10226,8528,0,5681,2693,3313,2571,1992,
投资收益(万元),--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,59,1,-1114,189,126,63,213,185,150,84,26,28,86,68,-385,-69,966,349,-65,0,3,1,3,3,5,5,2,0,0,
营业外收支净额(万元),--,--,--,--,--,--,--,-434,-78,-228,-151,--,-305,-228,-151,-75,-305,-228,-151,-75,-306,-228,-151,-75,0,0,-2393,0,0,0,-6305,-706,22,8,-3067,957,758,0,-641,0,239,0,324,0,0,0,0,155,0,--,0,--,--,
利润总额(万元),-8,-229,-25,-13,-190,-91,-46,-1110,-223,-351,-236,-10,-1592,-357,-245,-115,-1156,-953,-685,-294,-1464,-1836,-1223,-599,1453,-1155,-29652,-1860,-1571,-1167,-15701,-3896,-1393,-940,-18593,247,465,217,3995,2386,5440,2855,7398,4131,15248,10387,8835,4511,6019,2698,3311,2561,1992,
净利润(万元),-8,-226,-25,-13,-186,-89,-45,-1105,-219,-348,-233,-10,-1587,-353,-243,-114,-1146,-947,-680,-290,-1405,-1835,-1223,-599,895,-1123,-28608,-1807,-1421,-1011,-15264,-3898,-1542,-956,-18882,144,257,2,3468,2147,5305,2855,6843,3817,14098,9617,8225,4170,6019,2293,3311,2556,1992,
