报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.1,0.07,0.02,0.19,0.16,0.1,0.03,0.2,0.14,0.09,0.02,0.13,0.11,0.08,0.02,0.12,0.09,0.06,0.17,0.08,0.2,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,2.14,2.11,--,2.07,--,2.01,2.01,1.88,1.8,1.62,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.27,0.19,--,0.19,0.12,0.17,0.22,0.16,0.18,0.44,
主营业务收入(万元),82249,51738,24999,127230,100908,67012,29418,128087,92272,59599,24859,100801,76390,51735,23836,99139,74323,52213,101394,88204,98040,107943,
主营业务利润(万元),16438,10484,4451,28728,21785,14336,6535,30701,22158,14406,6237,25092,19167,13185,5912,26676,19880,13622,28517,21549,30610,37569,
营业利润(万元),4312,2484,1301,9644,8532,5214,1917,10926,7532,4671,1286,4521,3607,2457,910,4962,3530,2730,7744,2690,10793,5689,
投资收益(万元),304,183,125,121,--,--,--,--,--,--,--,--,--,--,--,-107,--,--,-493,--,--,-153,
营业外收支净额(万元),1857,1820,119,2274,1161,1001,-115,1240,935,854,51,2405,1979,1916,340,2005,1743,1731,1655,1431,-172,1060,
利润总额(万元),6170,4304,1420,11918,9692,6215,1801,12166,8467,5525,1337,6926,5587,4373,1250,6967,5273,4460,9399,4122,10621,6749,
净利润(万元),5157,3522,1080,10151,8193,5251,1384,10292,7535,4852,1109,6328,5093,3865,974,5842,4423,2875,8157,3588,9175,4166,
净利润(扣除非经常性损益后)(万元),3331,1874,919,8584,6984,4182,1276,8593,6109,3581,1016,4666,3540,2444,867,3408,2317,1248,6264,2278,8163,14056,
经营活动产生的现金流量净额(万元),18723,13644,150,35945,27158,14365,-287,24376,18918,11204,-1946,18271,12662,9000,784,9129,5823,7761,10550,7597,8493,19462,
现金及现金等价物净增加额(万元),3508,-4311,-5670,5899,-1960,3412,-1028,1549,3187,-459,-1852,3868,936,1780,-3623,-1734,-3923,-992,2254,882,-12045,12367,
总资产(万元),215708,215518,214764,212815,227063,235291,226059,212491,215173,205206,200976,191617,187728,191960,--,182480,--,193141,207774,208685,198635,202589,
流动资产(万元),140863,138701,135935,131616,143931,150239,139232,124072,129048,120655,118209,108155,105170,107544,--,98659,--,105530,116689,108089,99270,126199,
总负债(万元),89772,91279,89809,88967,105181,116339,107876,95783,101297,94018,91530,83336,86995,92449,--,85023,--,98739,113434,120465,114103,131330,
流动负债(万元),80520,82569,80514,79325,94251,106909,98245,86209,91524,84266,82174,73816,77288,82578,--,74509,--,88888,103585,94365,88734,122707,
股东权益不含少数股东权益(万元),125936,124239,124955,123848,121883,118595,117838,116421,113662,110970,109218,108079,100549,99345,--,97333,--,94356,94279,88177,84463,71144,
净资产收益率加权(%),4.14,2.83,0.87,8.49,6.9,4.45,1.18,9.2,6.82,4.43,1.02,6.33,5.15,3.92,1,6.14,4.67,3.05,8.99,4.16,11.79,7.34,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
