报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2005-09-30,2005-03-31,2004-12-31,2004-09-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2001-03-31,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),0.03,0.02,0,0.36,0.02,0.01,0,0.03,0.03,0.02,0.03,0.06,0.03,0.01,0.01,0.04,0.02,0.01,0,31.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,1.25,--,--,--,--,--,--,--,--,--,--,--,0.79,--,--,0.74,0.73,2.15,0.86,-10.99,-10.63,-10.47,-10.59,-10.18,-9.99,-9.73,-9.54,-9.36,-9.16,-8.97,0,-7.91,-7.07,-7.91,2.76,3.37,4.49,4.95,5.06,4.91,4.75,5.63,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.21,--,--,0.16,--,0,0,0,0,--,0,0,0,0.04,0.04,0.04,-0.04,-0.62,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),8818,6149,2811,11886,8184,5016,2356,12617,8903,5958,3076,11745,10228,5398,3647,2999,39431,27261,6570,2613,0,0,929,718,366,795,611,489,315,1648,1256,1365,7994,3932,8641,4478,34737,9342,56978,57566,139343,60044,90403,92906,64864,27364,
主营业务利润(万元),3478,2277,1080,4178,2968,1783,930,4499,3620,2462,1471,4648,2681,1229,630,2596,1355,926,-22,91,0,0,-331,-220,-103,-139,-100,-91,-0,116,117,5,1325,636,-159,-1849,-6403,-92,222,1527,8177,5523,6696,22157,8609,4438,
营业利润(万元),1251,1016,194,15641,254,310,113,1265,1044,699,769,2633,1587,610,317,1681,877,554,53,-10591,-6934,-2081,-8626,-8100,-2688,-11937,-7931,-5300,-2654,-10267,0,-2953,-43504,-31990,-17203,-6872,-10878,-786,230,0,8214,0,7117,9278,8803,4620,
投资收益(万元),-6,-6,--,15726,--,109,--,66,--,--,--,--,--,--,--,--,--,--,23,--,-5,-1,-4,-28,-9,-964,-68,-59,-47,-38,-97,-35,-286,-123,-2765,-1058,-10072,-4813,1854,736,3598,15,2135,5,0,0,
营业外收支净额(万元),6,1,-1,-15,222,220,32,127,230,138,423,393,34,5,--,227,-0,-0,20,436640,-14,-14,-4415,-49,-6,-323,-1,-0,0,-16,-15,0,-246,0,-1717,0,--,0,0,-14,0,-34,0,--,--,--,
利润总额(万元),1257,1017,193,15626,476,530,144,1392,1274,837,1192,3026,1622,615,317,1908,877,554,73,426049,-6952,-2095,-13045,-8177,-2704,-13224,-8001,-5359,-2700,-10321,-8145,-2984,-44036,-32100,-21671,-8270,-21276,-5529,2249,2488,12160,5722,9489,10185,8629,4609,
净利润(万元),1224,904,119,14448,740,635,179,1135,1098,629,1025,2584,1434,531,294,1754,742,455,55,426038,-6911,-2072,-9332,-7651,-2543,-11746,-7620,-5095,-2588,-9468,-7829,-2918,-43632,-32030,-22033,-8220,-21514,-6256,587,2032,7371,2564,5750,6756,6977,4095,
