报告日期,2017-06-30,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.3,0.69,0.94,0.33,0.54,0.11,0.05,
每股净资产(元),4.77,4.8,4.12,3.98,3.65,3.28,3.16,
每股经营活动产生的现金流量净额(元),0.24,0.93,1.3,-0.24,1.8,-0.09,0.94,
主营业务收入(万元),22892,48643,60773,17429,47103,27823,22185,
主营业务利润(万元),5881,11640,17897,5774,13836,5567,5643,
营业利润(万元),3076,6748,11520,3771,6149,876,445,
投资收益(万元),180,210,108,60,-101,-82,--,
营业外收支净额(万元),-24,673,-386,25,227,442,90,
利润总额(万元),3052,7421,11135,3797,6375,1319,535,
净利润(万元),2686,6214,8490,2980,4898,991,420,
净利润(扣除非经常性损益后)(万元),2545,3714,7204,2888,5836,618,394,
经营活动产生的现金流量净额(万元),2151,8396,11683,-2137,16157,-783,8442,
现金及现金等价物净增加额(万元),2885,-1238,-4318,-8014,8209,-70,-2363,
总资产(万元),88967,90875,81549,88108,82807,66790,55688,
流动资产(万元),68203,69715,60905,70609,65187,49004,36626,
总负债(万元),43072,44573,41699,50336,48250,35007,25213,
流动负债(万元),43072,44573,41699,50336,48250,35007,25213,
股东权益不含少数股东权益(万元),42907,43222,37057,35806,32826,29477,28484,
净资产收益率加权(%),6.16,15.48,24.47,8.79,15.52,3.42,1.49,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
