报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.25,0.19,0.1,0.63,0.62,0.43,0.14,0.74,0.57,0.42,0.15,0.47,0.29,0.09,0.07,0.17,0.24,0.29,
每股净资产(元),--,--,--,--,--,--,--,--,--,3.26,--,2.91,--,2.47,2.46,2.42,2.25,2.01,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,0.3,--,1.66,--,0.98,0.34,0.45,0.24,0.39,
主营业务收入(万元),197538,129010,55220,297433,226106,147714,60972,272853,201813,130372,53795,224382,162381,189692,95616,194197,185206,170481,
主营业务利润(万元),49717,34134,14711,72970,60065,41655,16161,73271,55425,38956,15830,54682,38758,38765,19384,39186,39420,40437,
营业利润(万元),22404,16703,6145,41036,40085,28581,9553,43621,32876,24708,8774,26723,15815,4258,3904,9369,13630,14829,
投资收益(万元),880,710,422,856,634,538,251,-94,-92,-92,--,218,15,--,--,--,--,--,
营业外收支净额(万元),-200,-127,-52,44,92,38,-11,838,262,41,132,480,184,738,294,693,1269,770,
利润总额(万元),22204,16576,6093,41080,40177,28619,9542,44459,33138,24749,8906,27203,15998,4997,4198,10062,14899,15600,
净利润(万元),19309,14475,5441,34460,33881,23423,7796,36652,27188,20115,7431,22756,13718,4140,3268,8064,11555,13463,
净利润(扣除非经常性损益后)(万元),17414,12775,5048,32759,32958,22694,7701,34523,26304,19919,7319,21952,13406,3274,2893,7037,10304,12846,
经营活动产生的现金流量净额(万元),3379,-520,1419,28843,18495,2776,-96,46520,34185,14246,6375,79916,61304,47243,16541,21443,11575,18788,
现金及现金等价物净增加额(万元),-59922,-40904,-24289,58746,20874,21751,17148,-3466,46419,-8669,-14402,13430,-5085,2957,-1814,-7280,5993,-7860,
总资产(万元),442507,447711,450306,432749,367354,365707,345498,330643,350262,306370,--,293631,--,312962,337380,345389,360963,321580,
流动资产(万元),207184,221653,237242,237566,196301,201622,185159,174774,201474,159257,--,146226,--,159660,177035,179363,189759,164299,
总负债(万元),177424,187462,188140,176024,117246,126057,109428,102369,131110,149791,--,153807,--,194228,219472,229309,252889,224959,
流动负债(万元),128945,139307,140271,128479,115372,124089,107366,100213,125500,145447,--,151274,--,184175,204101,207953,218970,200519,
股东权益不含少数股东权益(万元),265083,260249,262166,256725,250108,239650,236071,228274,219152,156579,--,139824,--,118734,117908,116080,108074,96621,
净资产收益率加权(%),7.42,5.56,2.1,14.45,14.97,9.84,3.36,21.62,17.98,13.57,5.18,17.64,11.01,3.54,2.78,7.19,11.28,15.4,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
