,Name,Web,Whether
47,000032深桑达A2018年年度报告摘要.(314k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-25/1206089243.PDF,FALSE
48,000035中国天楹2018年年度报告.(3817k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-29/1206117024.PDF,FALSE
49,000035中国天楹2018年年度报告摘要.(249k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-29/1206117003.PDF,FALSE
50,000036华联控股2018年年度报告.(2905k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206163973.PDF,FALSE
51,000036华联控股2018年年度报告摘要.(351k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206163972.PDF,FALSE
52,000038深大通2018年年度报告.(3046k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206165490.PDF,FALSE
53,000038深大通2018年年度报告摘要.(253k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206165489.PDF,FALSE
54,000040东旭蓝天2018年年度报告.(10003k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206164100.PDF,FALSE
55,000040东旭蓝天2018年年度报告摘要.(626k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206164092.PDF,FALSE
56,000042中洲控股2018年年度报告.(1175k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-13/1206015485.PDF,FALSE
57,000042中洲控股2018年年度报告摘要.(599k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-13/1206015483.PDF,FALSE
58,000045深纺织A2018年年度报告.(3357k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-27/1206120698.PDF,FALSE
59,000045深纺织A2018年年度报告摘要.(286k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-27/1206120695.PDF,FALSE
60,000046泛海控股2018年年度报告.(4985k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-17/1206041336.PDF,FALSE
61,000046泛海控股2018年年度报告摘要.(434k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-17/1206041335.PDF,TRUE
62,000048ST康达2018年年度报告.(3884k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-15/1206016212.PDF,TRUE
63,000048ST康达2018年年度报告摘要.(203k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-15/1206016211.PDF,FALSE
64,000049德赛电池2018年年度报告.(4396k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206159571.PDF,TRUE
65,000049德赛电池2018年年度报告摘要.(253k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206159590.PDF,FALSE
66,000056皇庭国际2018年年度报告.(5611k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-25/1206092601.PDF,FALSE
67,000056皇庭国际2018年年度报告摘要.(268k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-25/1206092602.PDF,FALSE
68,000058深赛格2018年年度报告.(5110k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206178511.PDF,FALSE
69,000058深赛格2018年年度报告摘要.(238k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206163709.PDF,FALSE
70,000059华锦股份2018年年度报告.(1822k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-20/1206059642.PDF,FALSE
71,000059华锦股份2018年年度报告摘要.(279k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-20/1206059639.PDF,FALSE
72,000060中金岭南2018年年度报告.(2563k).PDF,http://static.cninfo.com.cn/finalpage/2019-03-30/1205967213.PDF,FALSE
73,000060中金岭南2018年年度报告摘要.(257k).PDF,http://static.cninfo.com.cn/finalpage/2019-03-30/1205967208.PDF,FALSE
74,000061农产品2018年年度报告.(6605k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-27/1206123117.PDF,FALSE
75,000061农产品2018年年度报告摘要.(240k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-27/1206123081.PDF,FALSE
76,000065北方国际2018年年度报告.(3532k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-02/1205982362.PDF,FALSE
77,000065北方国际2018年年度报告摘要.(296k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-02/1205982360.PDF,FALSE
78,000066中国长城2018年年度报告.(2881k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206159468.PDF,FALSE
79,000066中国长城2018年年度报告摘要.(210k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206159450.PDF,FALSE
80,000068华控赛格2018年年度报告.(2721k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-20/1206062179.PDF,FALSE
81,000068华控赛格2018年年度报告摘要.(248k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-20/1206062178.PDF,FALSE
82,000069华侨城A2018年年度报告.(11146k).PDF,http://static.cninfo.com.cn/finalpage/2019-03-30/1205966801.PDF,FALSE
