,Code,2018,2017
354,600429,2,1
355,600432,0,0
356,600433,1,3
357,600435,2,1
358,600436,1,4
359,600438,3,5
360,600439,0,0
361,600444,2,2
362,600446,8,1
363,600448,0,0
364,600449,3,2
365,600452,2,2
366,600455,1,1
367,600456,2,1
368,600458,1,2
369,600459,2,2
370,600460,3,1
371,600461,5,2
372,600462,2,5
373,600463,4,9
374,600466,1,0
375,600467,0,2
376,600468,2,3
377,600469,2,1
378,600472,0,0
379,600475,1,3
380,600476,1,2
381,600477,2,3
382,600478,2,4
383,600479,2,3
384,600480,5,3
385,600481,1,3
386,600482,4,1
387,600483,1,2
388,600485,8,0
389,600486,0,3
390,600487,6,6
391,600488,3,0
392,600489,0,4
393,600490,5,3
394,600491,3,1
395,600495,3,1
396,600496,4,5
397,600497,2,4
398,600498,2,3
399,600499,2,4
400,600500,3,4
401,600501,1,3
402,600502,3,4
403,600503,1,2
404,600505,0,0
405,600506,2,3
406,600507,5,6
407,600508,2,1
408,600509,4,4
409,600510,3,1
410,600511,4,3
411,600512,3,1
412,600513,2,2
413,600515,8,7
414,600516,6,9
415,600517,1,2
416,600518,1,1
417,600519,3,1
418,600520,1,2
419,600521,2,1
420,600522,1,1
421,600523,1,4
422,600525,3,6
423,600526,3,1
424,600528,0,0
425,600529,0,0
426,600530,1,3
427,600531,2,1
428,600532,2,1
429,600533,1,3
430,600535,2,5
431,600536,3,3
432,600537,1,0
433,600538,0,3
434,600539,2,4
435,600540,1,1
436,600543,1,3
437,600545,6,7
438,600546,7,2
439,600547,5,3
440,600548,1,3
441,600549,1,2
442,600550,4,4
443,600551,1,5
444,600552,4,0
445,600553,0,5
446,600555,2,0
447,600556,0,2
448,600557,2,2
449,600558,1,0
450,600559,0,1
451,600561,3,3
452,600562,1,1
453,600563,0,0
454,600565,6,5
455,600566,1,3
456,600567,4,4
457,600568,2,3
458,600569,2,2
459,600570,1,3
460,600571,2,1
461,600572,1,0
462,600573,0,0
463,600575,0,4
464,600576,4,4
465,600577,5,4
466,600578,2,2
467,600579,1,3
468,600580,5,3
469,600581,4,2
470,600582,1,1
471,600583,2,4
472,600584,4,0
473,600585,0,2
474,600587,4,6
475,600588,4,3
476,600589,3,2
477,600590,3,4
478,600591,0,0
479,600592,1,1
480,600593,4,1
481,600594,0,0
482,600595,1,2
483,600596,1,2
484,600597,3,2
485,600598,2,1
486,600599,4,3
487,600600,0,0
488,600601,4,1
489,600602,0,0
490,600603,3,3
491,600604,2,2
492,600605,0,0
493,600606,2,2
494,600607,0,0
495,600608,0,0
496,600609,4,4
497,600610,5,4
498,600611,2,2
499,600613,0,0
500,600614,1,3
501,600615,0,0
502,600616,1,1
503,600617,1,1
504,600618,0,0
505,600619,2,1
506,600620,1,2
507,600621,0,0
508,600622,2,3
509,600623,1,2
510,600624,1,2
511,600625,0,0
512,600626,1,1
513,600627,0,0
514,600628,1,2
515,600629,2,1
516,600630,1,0
517,600631,0,0
518,600632,0,2
519,600633,2,2
520,600634,2,0
521,600635,0,4
522,600636,1,0
523,600637,0,1
524,600638,1,1
525,600639,1,0
526,600640,0,1
527,600642,0,0
528,600643,2,2
529,600644,0,0
530,600645,8,4
531,600646,0,0
532,600647,1,2
533,600648,0,0
534,600649,0,0
535,600650,1,0
536,600651,0,0
537,600652,0,3
538,600653,3,2
539,600654,6,0
540,600655,0,0
541,600656,0,0
542,600657,0,2
543,600658,3,0
544,600659,0,2
545,600661,1,2
546,600662,1,0
547,600663,0,2
548,600664,3,3
549,600665,2,3
550,600666,9,2
551,600667,1,0
552,600668,0,0
553,600669,0,0
554,600670,0,4
555,600671,2,0
556,600672,0,2
557,600673,4,3
558,600674,2,1
559,600675,1,0
560,600676,0,4
561,600677,2,2
562,600678,5,1
563,600679,1,2
564,600680,3,3
565,600681,2,5
566,600682,2,4
567,600683,3,3
568,600684,2,2
569,600685,2,3
570,600686,3,1
571,600687,2,1
572,600688,1,1
573,600689,1,2
574,600690,1,6
575,600691,4,1
576,600692,1,4
577,600693,3,4
578,600694,2,1
579,600695,2,1
580,600696,2,0
581,600697,0,3
582,600698,1,1
583,600699,3,0
584,600700,0,2
585,600701,4,5
586,600702,4,1
587,600703,2,2
588,600705,4,3
589,600706,1,1
590,600707,3,4
591,600708,3,4
592,600709,0,0
593,600710,5,3
594,600711,5,7
595,600712,3,3
596,600713,2,3
597,600714,2,3
598,600715,2,1
599,600716,1,1
600,600717,1,2
601,600718,2,3
602,600719,1,2
603,600720,1,2
604,600721,2,3
605,600722,3,2
606,600723,1,1
607,600725,2,4
608,600726,0,0
609,600727,2,1
610,600728,6,8
611,600729,3,2
612,600730,1,5
613,600731,0,0
614,600732,1,1
615,600733,8,2
616,600734,4,8
617,600735,0,0
618,600736,3,6
619,600737,3,4
620,600738,6,4
621,600739,4,2
622,600740,2,3
623,600741,1,2
624,600742,3,2
625,600743,1,2
626,600744,2,4
627,600745,3,0
628,600746,0,4
629,600747,4,1
630,600748,2,2
631,600749,1,1
632,600750,2,3
633,600751,7,0
634,600752,0,1
635,600753,3,1
636,600754,2,4
637,600755,3,2
638,600757,2,1
639,600758,3,2
640,600759,4,8
641,600760,1,6
642,600761,2,1
643,600762,0,0
644,600763,2,6
645,600764,3,3
646,600765,2,4
647,600766,1,1
648,600767,5,3
649,600768,2,1
650,600769,1,1
651,600770,0,0
652,600771,1,1
653,600772,0,0
654,600773,3,3
655,600774,0,0
656,600775,1,1
657,600776,2,1
658,600777,6,9
659,600778,1,6
660,600779,1,3
661,600780,1,1
662,600781,2,1
663,600782,1,4
664,600783,5,2
665,600784,5,4
666,600785,2,1
667,600786,0,0
668,600787,6,4
669,600788,0,0
670,600789,1,3
671,600790,2,2
672,600791,4,5
673,600792,2,6
674,600793,2,4
675,600794,4,2
676,600795,3,2
677,600796,2,4
678,600797,2,1
679,600799,0,0
680,600800,4,2
681,600801,3,1
682,600802,2,6
683,600803,5,3
684,600804,4,5
685,600805,3,1
686,600806,3,2
687,600807,4,2
688,600808,1,2
689,600810,3,2
690,600811,5,5
691,600812,2,0
692,600813,0,0
693,600814,0,1
694,600815,5,1
695,600816,1,1
696,600817,2,1
697,600819,2,1
698,600820,1,1
699,600821,2,1
700,600822,1,1
701,600823,3,1
702,600824,0,0
703,600825,1,1
704,600826,0,0
705,600827,0,0
706,600828,9,9
707,600829,2,3
708,600830,1,1
709,600831,1,0
710,600832,0,1
711,600833,1,1
712,600835,0,0
713,600836,1,1
714,600837,2,1
715,600838,1,1
716,600839,2,0
717,600840,0,2
718,600842,0,0
719,600843,1,0
720,600844,0,2
721,600845,4,0
722,600846,0,2
723,600847,5,3
724,600848,1,0
725,600849,0,2
726,600850,2,0
727,600851,0,0
728,600852,0,3
729,600853,3,0
730,600854,0,4
731,600855,5,4
732,600856,6,3
733,600858,1,3
734,600859,2,2
735,600860,1,1
736,600861,0,0
737,600862,1,1
738,600863,4,2
739,600864,1,4
740,600865,3,2
741,600866,2,1
742,600867,2,1
743,600868,0,0
744,600869,3,2
745,600870,3,8
746,600871,2,1
747,600872,3,1
748,600873,4,1
749,600874,2,1
750,600875,2,2
751,600876,4,7
752,600877,3,0
753,600878,0,0
754,600879,0,2
755,600880,2,3
756,600881,4,3
757,600882,2,0
758,600883,0,5
759,600884,5,1
760,600885,1,6
761,600886,5,0
762,600887,0,6
763,600888,3,1
764,600889,3,2
765,600890,5,2
766,600891,2,2
767,600892,3,7
768,600893,4,1
769,600894,1,0
770,600895,0,3
771,600897,1,1
772,600898,2,2
773,600899,0,0
774,600900,2,2
775,600901,2,1
776,600908,2,2
777,600909,1,2
778,600917,1,1
779,600919,1,0
780,600926,0,0
781,600928,0,2
782,600933,4,2
783,600939,3,2
784,600958,1,2
785,600959,3,3
786,600960,2,4
787,600961,1,2
788,600962,3,1
789,600963,3,0
790,600965,0,7
791,600966,7,2
792,600967,1,2
793,600969,2,2
794,600970,4,3
795,600971,2,3
796,600973,3,2
797,600975,3,1
798,600976,1,0
799,600977,0,2
800,600978,1,3
801,600979,1,1
802,600980,1,3
803,600981,2,3
804,600982,2,2
805,600983,2,7
806,600984,4,3
807,600985,3,7
808,600986,6,1
809,600988,2,1
810,600990,1,2
811,600991,0,0
812,600992,1,1
813,600993,0,0
814,600995,1,1
815,600996,2,1
816,600997,1,3
817,600998,3,3
818,600999,0,0
819,601000,1,1
820,601001,0,0
821,601002,1,1
822,601003,2,1
823,601005,2,1
824,601007,0,0
825,601008,3,2
826,601009,1,2
827,601010,0,0
828,601011,3,7
829,601012,4,5
830,601015,3,2
831,601016,3,1
832,601018,0,0
833,601019,3,2
834,601021,1,2
835,601028,3,2
836,601038,2,2
837,601058,5,1
838,601066,2,2
839,601069,2,2
840,601086,0,0
841,601088,1,0
842,601098,0,1
843,601099,2,0
844,601100,0,1
845,601101,2,1
846,601106,1,2
847,601107,4,1
848,601111,2,3
849,601113,2,2
850,601116,1,1
851,601117,3,2
852,601118,4,6
853,601126,2,5
854,601127,6,2
855,601137,2,3
856,601139,1,1
857,601155,6,2
858,601158,0,0
859,601162,0,0
860,601163,0,0
861,601166,0,0
862,601168,2,6
863,601169,1,1
864,601177,1,2
865,601179,2,1
866,601186,2,0
867,601188,0,1
868,601198,2,2
869,601200,0,0
870,601206,0,0
871,601208,1,1
872,601211,0,0
873,601212,4,1
874,601216,2,1
875,601218,1,2
876,601222,7,4
877,601225,2,1
878,601226,1,2
879,601228,4,0
880,601229,0,1
881,601233,2,4
882,601238,1,2
883,601258,5,0
884,601268,0,2
885,601288,1,0
886,601298,0,0
887,601299,0,4
888,601311,3,3
889,601313,3,2
890,601319,4,1
891,601326,1,0
892,601328,0,2
893,601333,0,0
894,601336,1,2
895,601339,0,0
896,601360,3,3
897,601366,2,3
898,601368,3,1
899,601369,2,2
900,601375,1,1
901,601377,1,2
902,601388,3,1
903,601398,1,1
904,601500,4,2
905,601515,1,1
906,601518,1,5
907,601519,0,0
908,601555,2,1
909,601558,6,2
910,601566,1,1
911,601567,1,0
912,601577,0,0
913,601579,0,1
914,601588,1,2
915,601595,2,0
916,601598,0,0
917,601599,0,2
918,601600,2,0
919,601601,0,3
920,601607,0,0
921,601608,2,2
922,601611,4,2
923,601615,0,0
924,601616,0,0
925,601618,0,0
926,601619,4,2
927,601628,1,1
928,601633,0,0
929,601636,3,3
930,601666,5,5
931,601668,3,2
932,601669,2,3
933,601677,2,2
934,601688,1,1
935,601689,0,0
936,601699,0,0
937,601700,1,1
938,601717,2,3
939,601718,1,4
940,601727,3,2
941,601766,0,0
942,601777,3,6
943,601788,2,5
944,601789,2,3
945,601798,4,1
946,601799,2,2
947,601800,1,2
948,601801,0,0
949,601808,0,0
950,601811,0,0
951,601818,2,2
952,601828,2,1
953,601857,0,0
954,601858,2,0
955,601860,0,0
956,601865,0,2
957,601866,4,1
958,601872,2,5
959,601877,2,1
960,601878,0,0
961,601880,1,1
962,601881,2,1
963,601882,1,3
964,601888,1,4
965,601890,0,0
966,601898,1,1
967,601899,0,0
968,601900,2,2
969,601901,3,2
970,601908,2,2
971,601918,2,4
972,601919,3,1
973,601929,1,1
974,601933,2,2
975,601939,0,0
976,601949,2,2
977,601952,3,2
978,601958,4,2
979,601965,2,4
980,601966,2,2
981,601968,1,5
982,601969,2,0
983,601975,0,3
984,601985,2,1
985,601989,1,5
986,601990,3,2
987,601991,3,2
988,601992,2,3
989,601996,5,1
990,601997,2,2
991,601998,2,1
992,601999,2,2
993,603000,1,1
994,603002,0,0
995,603003,2,2
996,603005,2,2
997,603006,1,1
998,603007,3,4
999,603008,1,3
1000,603009,4,3
1001,603010,4,2
1002,603011,3,1
1003,603012,0,0
1004,603013,2,2
1005,603015,2,2
1006,603016,3,2
1007,603017,2,1
1008,603018,2,0
1009,603019,0,0
1010,603020,0,1
1011,603021,1,0
1012,603022,0,0
1013,603023,0,1
1014,603025,2,1
1015,603026,1,2
1016,603027,2,0
1017,603028,0,2
1018,603029,2,2
1019,603030,2,1
1020,603032,4,1
1021,603033,2,2
1022,603035,4,3
1023,603036,0,0
1024,603037,1,1
1025,603038,1,3
1026,603039,1,4
1027,603040,2,2
1028,603041,2,3
1029,603042,4,1
1030,603043,1,3
1031,603050,2,1
1032,603055,0,0
1033,603056,3,4
1034,603058,2,2
1035,603060,1,1
1036,603063,4,1
1037,603066,3,3
1038,603067,0,0
1039,603069,2,2
1040,603076,7,1
1041,603077,3,4
1042,603078,3,1
1043,603080,2,3
1044,603081,2,1
1045,603085,3,3
1046,603086,2,3
1047,603088,1,2
1048,603089,2,1
1049,603090,1,1
1050,603096,7,2
1051,603098,3,2
1052,603099,2,1
1053,603100,2,5
1054,603101,4,1
1055,603103,4,4
1056,603106,2,2
1057,603108,4,3
1058,603110,3,0
1059,603111,0,4
1060,603113,3,3
1061,603116,2,3
1062,603117,1,1
1063,603118,2,0
1064,603121,0,0
1065,603123,0,3
1066,603126,2,3
1067,603127,1,2
1068,603128,1,2
1069,603129,1,2
1070,603131,1,1
1071,603133,3,0
1072,603136,0,1
1073,603138,4,0
1074,603139,0,0
1075,603156,0,4
1076,603157,4,3
1077,603158,1,2
1078,603159,1,3
1079,603160,1,2
1080,603165,3,2
1081,603166,1,3
1082,603167,4,3
1083,603168,1,2
1084,603169,2,3
1085,603177,1,0
1086,603178,0,0
1087,603179,5,4
1088,603180,1,3
1089,603181,2,1
1090,603183,2,2
1091,603185,0,0
1092,603186,4,1
1093,603187,3,4
1094,603188,2,2
1095,603189,1,0
1096,603192,0,1
1097,603196,3,0
1098,603197,0,0
1099,603198,0,1
1100,603199,2,1
1101,603200,2,3
1102,603203,3,3
1103,603208,3,0
1104,603214,0,1
1105,603218,2,0
1106,603220,0,5
1107,603223,1,1
1108,603225,3,3
1109,603226,1,3
1110,603227,2,1
1111,603228,2,4
1112,603229,1,2
1113,603232,0,0
1114,603233,5,2
1115,603238,2,4
1116,603239,2,2
1117,603258,4,2
1118,603260,4,1
1119,603268,3,3
1120,603269,3,3
1121,603277,3,4
1122,603278,3,6
1123,603286,0,0
1124,603288,0,0
1125,603289,3,3
1126,603297,2,2
1127,603298,1,3
1128,603299,2,3
1129,603300,1,4
1130,603302,0,0
1131,603303,0,0
1132,603305,2,3
1133,603306,2,1
1134,603308,4,1
1135,603309,2,1
1136,603311,3,0
1137,603313,0,1
1138,603315,2,1
1139,603316,3,6
1140,603318,4,2
1141,603319,1,1
1142,603321,0,0
1143,603322,7,2
1144,603323,2,1
1145,603326,2,8
1146,603328,2,1
1147,603329,1,1
1148,603330,1,2
1149,603331,1,0
1150,603332,0,4
1151,603333,3,4
1152,603335,3,1
1153,603336,1,4
1154,603337,8,3
1155,603338,2,3
1156,603339,2,0
1157,603345,0,4
1158,603351,0,0
1159,603355,1,1
1160,603356,2,1
1161,603358,1,1
1162,603359,4,2
1163,603360,2,3
1164,603363,8,4
1165,603365,0,0
1166,603366,2,3
1167,603367,0,0
1168,603368,1,3
1169,603369,0,0
1170,603377,8,2
1171,603378,3,2
1172,603380,1,3
1173,603383,4,3
1174,603385,1,3
1175,603386,5,2
1176,603387,3,2
1177,603388,3,1
1178,603393,2,1
1179,603396,1,2
1180,603398,3,1
1181,603399,9,6
1182,603416,2,4
1183,603421,1,2
1184,603429,3,4
1185,603444,1,1
1186,603456,3,2
1187,603458,2,2
1188,603466,3,2
1189,603477,1,0
1190,603486,0,2
1191,603488,2,2
1192,603496,3,3
1193,603500,2,5
1194,603501,2,1
1195,603506,1,4
1196,603507,4,5
1197,603508,4,1
1198,603515,1,4
1199,603517,3,2
1200,603518,4,5
1201,603519,2,4
1202,603520,2,1
1203,603527,2,1
1204,603528,2,2
1205,603533,4,0
1206,603535,0,1
1207,603536,4,2
1208,603538,1,4
1209,603555,3,1
1210,603556,3,6
1211,603557,2,4
1212,603558,1,2
1213,603559,1,3
1214,603567,1,1
1215,603568,1,3
1216,603569,4,3
1217,603577,2,2
1218,603578,3,3
1219,603579,1,3
1220,603580,1,2
1221,603583,2,3
1222,603585,3,3
1223,603586,2,2
1224,603588,3,3
1225,603589,0,0
1226,603590,3,2
1227,603595,2,2
1228,603598,3,3
1229,603599,2,3
1230,603600,1,5
1231,603601,2,4
1232,603602,3,3
1233,603603,7,6
1234,603605,2,5
1235,603606,4,1
1236,603607,1,2
1237,603608,2,3
1238,603609,2,2
1239,603611,3,5
1240,603612,2,1
1241,603615,1,3
1242,603616,1,2
1243,603617,1,2
1244,603618,2,2
1245,603619,2,2
1246,603626,3,7
1247,603628,1,0
1248,603629,0,3
1249,603630,5,1
1250,603633,1,3
1251,603636,1,1
1252,603637,1,1
1253,603639,3,1
1254,603648,0,0
1255,603650,1,2
1256,603656,1,1
1257,603657,1,2
1258,603658,2,3
1259,603659,4,3
1260,603660,1,4
1261,603661,3,1
1262,603663,1,2
1263,603665,3,5
1264,603667,1,4
1265,603668,3,0
1266,603669,0,3
1267,603676,2,2
1268,603677,3,1
1269,603678,1,1
1270,603679,3,3
1271,603683,0,0
1272,603685,4,1
1273,603686,2,3
1274,603688,1,2
1275,603690,2,3
1276,603693,3,3
1277,603696,1,1
1278,603698,1,2
1279,603699,1,0
1280,603700,0,1
1281,603701,2,1
1282,603703,1,2
1283,603707,1,2
1284,603708,0,0
1285,603709,2,3
1286,603712,1,5
1287,603716,6,1
1288,603717,2,2
1289,603718,1,4
1290,603721,3,3
1291,603722,3,0
1292,603725,0,2
1293,603726,1,6
1294,603727,5,3
1295,603728,1,2
1296,603729,2,4
1297,603730,3,2
1298,603737,3,2
1299,603738,0,0
1300,603739,0,0
1301,603757,1,2
1302,603758,1,2
1303,603766,4,1
1304,603767,0,0
1305,603768,1,3
1306,603773,0,0
1307,603776,2,4
1308,603777,3,3
1309,603778,2,3
1310,603779,1,5
1311,603787,2,4
1312,603788,3,3
1313,603789,2,4
1314,603790,1,1
1315,603797,5,0
1316,603798,0,4
1317,603799,1,4
1318,603800,1,3
1319,603801,1,3
1320,603803,2,3
1321,603808,3,5
1322,603809,3,2
1323,603811,1,2
1324,603813,3,3
1325,603816,6,3
1326,603817,3,3
1327,603818,7,2
1328,603819,3,2
1329,603822,5,5
1330,603823,1,2
1331,603825,2,4
1332,603826,1,3
1333,603828,2,1
1334,603829,1,3
1335,603833,3,2
1336,603838,1,2
1337,603839,3,3
1338,603843,4,1
1339,603855,1,1
1340,603856,2,1
1341,603858,1,3
1342,603859,1,1
1343,603860,5,1
1344,603861,1,2
1345,603866,2,1
1346,603868,1,3
1347,603869,3,3
1348,603876,3,5
1349,603877,4,3
1350,603878,1,2
1351,603879,3,2
1352,603881,2,3
1353,603882,0,0
1354,603883,2,1
1355,603885,4,1
1356,603886,0,0
1357,603887,2,1
1358,603888,0,0
1359,603889,0,0
1360,603890,3,0
1361,603895,0,3
1362,603897,2,5
1363,603898,3,0
1364,603899,0,2
1365,603900,2,5
1366,603901,4,3
1367,603903,5,4
1368,603908,2,3
1369,603909,3,2
1370,603912,3,2
1371,603917,1,2
1372,603918,1,3
1373,603919,2,1
