报告日期,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),0.3,0.05,0.35,0.42,--,--,--,--,--,--,
每股净资产(元),4.66,4.37,5.72,5.38,4.96,4.89,5.05,2.88,2.05,1.62,
每股经营活动产生的现金流量净额(元),0.62,0.23,0.75,0.91,1.01,1.9,-0.93,2.04,0,0,
主营业务收入(万元),619887,487949,470845,456039,407748,428145,377463,494274,290653,215409,
主营业务利润(万元),93476,79131,81388,71705,43320,49018,62738,101569,58489,37668,
营业利润(万元),17004,3082,11786,13599,2215,657,17822,59590,32322,21926,
投资收益(万元),269,107,16,-449,-1003,-383,-172,18,-2,0,
营业外收支净额(万元),337,1021,6138,3055,-451,-1267,-671,-1399,0,0,
利润总额(万元),17341,4103,17924,16654,2865,1768,20471,59884,33710,21537,
净利润(万元),15549,2817,14079,16798,3036,2004,13041,34783,19852,19492,
净利润(扣除非经常性损益后)(万元),14937,2096,9175,12286,-6031,3463,14870,0,0,0,
经营活动产生的现金流量净额(万元),32504,11781,30129,36413,40591,76272,-37217,65901,0,0,
现金及现金等价物净增加额(万元),-11679,-18023,-15613,37909,-30450,1991,9553,12311,0,0,
总资产(万元),631127,625231,597269,573841,482358,501834,510024,346655,217523,162589,
流动资产(万元),227155,212842,207842,216572,177632,246441,279844,234778,158846,121377,
总负债(万元),383176,391415,361876,352782,280594,301607,300663,246783,145066,105098,
流动负债(万元),272628,307184,344808,330142,267474,282487,268053,230173,139956,99437,
股东权益不含少数股东权益(万元),242952,227408,229112,215487,198835,196126,202164,92913,66141,52297,
净资产收益率加权(%),6.61,1.24,6.34,8.16,1.54,1.01,9.59,41.64,31.9,45.82,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
