报告日期,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),0.54,0.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),5.46,5.06,4.86,5.6,5.36,5.12,4.68,4.5,6.66,2.98,2.83,2.12,2.09,1.86,1.73,1.77,1.62,1.18,1.09,
每股经营活动产生的现金流量净额(元),0.85,0.49,0.43,0.32,0.45,0.44,0.25,0.35,0.32,0.75,0.23,--,--,--,--,--,--,--,--,
主营业务收入(万元),320752,284956,243471,235238,223865,181988,161334,137542,92144,54341,27451,13031,25893,31273,32024,31956,--,728,6,
主营业务利润(万元),96959,73243,64434,60649,50186,36887,34355,30936,20536,9306,6064,590,463,1915,3575,4483,--,10,-8,
营业利润(万元),35634,24072,14310,9685,7152,4690,4440,4095,4348,3833,2731,843,1348,2400,0,4811,--,35,-3,
投资收益(万元),9538,10423,7683,9494,9044,7154,6945,8466,6816,3516,3946,4300,1678,514,1113,463,--,0,0,
营业外收支净额(万元),--,--,-553,-338,885,544,-309,710,676,211,0,0,0,0,-75,0,--,--,--,
利润总额(万元),37345,26341,22266,19577,17553,14031,14580,15244,13520,7573,6945,5268,3306,3103,4835,5029,--,887,432,
净利润(万元),19677,13797,11041,10805,10490,9683,9269,10156,9708,6572,6236,4749,2579,2380,3273,2993,--,0,0,
净利润(扣除非经常性损益后)(万元),16760,10415,8337,8478,9542,9375,9363,9879,9217,6352,--,--,--,--,--,0,--,--,--,
经营活动产生的现金流量净额(万元),31122,18073,15708,9677,13680,13615,7722,10657,6483,11592,3544,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),20581,3222,9376,-2555,-837,4398,-35762,-2578,51106,928,9310,--,--,--,--,--,--,--,--,
总资产(万元),344363,318571,306044,291226,303956,264981,247543,241924,237379,105609,90247,67106,61964,51830,48602,49773,11669,7238,5608,
流动资产(万元),176830,153434,145136,141836,149562,135618,--,0,0,0,50819,36209,45029,38926,36303,38741,2892,2077,657,
总负债(万元),91785,85933,82122,79418,100145,84500,80764,84159,78950,55365,42317,36818,35077,30143,29569,33231,1642,0,0,
流动负债(万元),87142,81198,76930,72498,95148,75315,--,0,0,0,41654,36818,35077,29500,25387,33170,1591,1249,99,
股东权益不含少数股东权益(万元),200779,186185,178763,171554,164159,157053,143599,138069,137962,47740,45504,26650,21965,19485,16659,14189,10027,5989,5509,
净资产收益率加权(%),10.15,7.62,6.29,6.44,6.6,6.38,6.5,7.33,10.55,0,17.25,--,0,0,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
