报告日期,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.13,0.11,0.29,1.24,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),6.48,6.4,6.44,6.76,5.93,5.11,5.05,4.75,4.12,3.71,3.25,2.9,2.12,2.86,--,0,--,
每股经营活动产生的现金流量净额(元),2.4,2.49,0.72,1.83,0.81,1.28,1.02,0.79,0.78,0.56,1.27,0.03,0.59,--,--,--,--,
主营业务收入(万元),4029084,2827610,3976553,3292616,2432472,1981565,1776183,1089685,601464,498820,452541,399080,408762,355367,243711,233467,211362,
主营业务利润(万元),171415,199386,266463,376745,252376,159581,163673,153365,98265,82944,84218,59037,57428,32132,26297,22649,19530,
营业利润(万元),4466,23988,11234,159688,115710,65969,103879,87667,60890,53972,63266,44739,43449,32744,26297,22649,19530,
投资收益(万元),--,100,300,800,-535,-5685,44,56,8,716,6,0,0,0,--,0,0,
营业外收支净额(万元),8069,-1183,-3461,--,-3374,-576,52,-4281,-2960,-754,-983,-236,0,0,-57,1250,0,
利润总额(万元),12535,22805,7773,157666,114807,59708,103974,83442,57938,53934,62289,44503,43553,33596,26240,22598,19481,
净利润(万元),12358,9690,26373,113954,74604,41548,74139,57282,38504,45579,52715,37648,36780,30334,24920,21498,18481,
净利润(扣除非经常性损益后)(万元),9196,13822,28780,117243,75258,41977,74119,60113,38504,45306,53698,37648,--,--,--,--,--,
经营活动产生的现金流量净额(万元),221239,229606,66671,168954,74373,118162,94155,72510,72138,49095,111008,50072,47072,--,--,--,--,
现金及现金等价物净增加额(万元),64080,6994,-50767,33464,-2727,29946,-1305,-14967,64154,8527,-10531,2681,-5168,--,--,--,--,
总资产(万元),1679784,1616528,1747484,1739833,1497577,1354501,982795,826531,705637,559298,513686,436056,350726,301443,183530,133751,124352,
流动资产(万元),572735,457704,603339,672316,467433,436240,425298,372018,--,0,0,0,97867,95894,41219,36679,37692,
总负债(万元),1080346,1024129,1150998,1114152,943596,872640,509588,386746,324371,234732,229133,183024,182139,149769,114364,93051,84591,
流动负债(万元),649528,627170,526092,630494,663938,638230,274109,262109,--,0,0,0,81020,52211,33411,33358,30203,
股东权益不含少数股东权益(万元),597606,590170,593688,623458,547017,471720,466084,438060,380231,323182,283097,253032,168587,151674,69165,40701,39760,
净资产收益率加权(%),2.08,1.64,4.37,19.52,14.65,8.86,16.4,13.26,10.75,14.9,18.9,0,21.82,--,--,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
