报告日期,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),3.92,3.16,2.58,2.25,2.42,2.49,2.4,2.18,1.29,1.27,1.21,
每股经营活动产生的现金流量净额(元),1.1,1.14,0.56,0.62,0.45,0.39,0.59,0.01,--,--,--,
主营业务收入(万元),1951722,984175,945990,716949,702237,715551,582003,393284,481919,511035,504225,
主营业务利润(万元),384842,239143,170274,58241,57350,93619,93697,76656,80991,80916,115393,
营业利润(万元),266438,154319,94389,6849,2703,52313,54383,59087,81608,81492,115608,
投资收益(万元),86,0,0,--,-70,1550,3635,522,0,0,0,
营业外收支净额(万元),-2882,-21010,-24327,-213,1481,21,-348,0,0,0,0,
利润总额(万元),263642,133344,70062,6636,4114,53884,57670,60610,80835,80719,114035,
净利润(万元),183814,128959,63043,4263,2114,43482,47560,51955,54159,54081,76403,
净利润(扣除非经常性损益后)(万元),184324,136280,76107,4444,703,43482,47560,--,--,--,--,
经营活动产生的现金流量净额(万元),214238,223195,108946,121829,87300,76033,115576,1879,--,--,--,
现金及现金等价物净增加额(万元),25815,-12521,12864,-3280,-829,-7165,8022,-29272,--,--,--,
总资产(万元),1038224,997976,721454,666176,770277,828911,884904,921306,627583,550960,521909,
流动资产(万元),225509,113651,104049,95092,0,0,153728,159140,129671,115194,96057,
总负债(万元),273692,382696,218765,227037,298814,342828,416209,495833,420942,348468,327529,
流动负债(万元),135037,186277,116829,173373,0,0,239194,333503,158364,133332,132773,
股东权益不含少数股东权益(万元),764532,615280,502690,439139,471463,486083,468696,425473,206641,202493,194380,
净资产收益率加权(%),26.64,23.34,13.39,0.97,0.45,9.34,0,14.46,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
