报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),-0.1,-0.06,0.08,10.09,-0.57,-0.42,-0.5,-0.44,-0.41,-0.44,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,-10.33,-8.72,-8.31,-7.8,-7.3,-6.89,-4.86,-4.35,-3.8,-3.13,0.06,0.63,1.09,1.08,1.76,2.16,2.32,2.2,1.15,
每股经营活动产生的现金流量净额(元),--,--,--,--,0,-0.03,-0.13,-0.19,-0.27,-0.09,-0.02,-0.01,-0.21,-0.07,-0.02,--,-0.05,--,--,--,--,--,--,
主营业务收入(万元),43,809,4259,4619,190,372,257,1356,1007,827,3141,5489,3110,7904,13070,11649,17322,20764,18035,30484,33219,51859,--,
主营业务利润(万元),21,544,3138,1983,-139,-480,-606,-755,8,-190,-2278,-1162,-2354,-3002,-1502,-18,1759,-13468,-5024,225,743,3063,--,
营业利润(万元),-3672,-2040,2487,266,-10108,-10729,-11046,-11298,-10550,-11472,-13678,-14811,-17166,-77039,-12476,-7719,-1553,-12210,-4532,350,0,5439,--,
投资收益(万元),--,--,--,--,--,--,--,--,0,--,--,0,0,-1144,-234,-15,-33,-1033,52,300,29,92,--,
营业外收支净额(万元),-61,-3,-0,260162,-4473,-0,-1927,-21,-0,6,15,-40,0,-43,-25,136,0,0,0,0,3555,0,--,
利润总额(万元),-3733,-2043,2487,260428,-14581,-10729,-12974,-11319,-10551,-11466,-13663,-14851,-17626,-78227,-12735,-714,144,-17513,-4484,270,5737,5472,--,
净利润(万元),-3733,-2092,2157,260361,-14581,-10729,-12974,-11319,-10551,-11466,-13340,-14718,-17568,-76423,-12740,-714,144,-17513,-4484,161,4112,4651,--,
净利润(扣除非经常性损益后)(万元),-3672,-2095,2157,199,-14581,-10729,-12974,-11319,-10551,-11466,-13325,-14678,0,-76380,-12765,-7726,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-954,-985,2119,-20404,8,-1004,-3302,-5015,-6939,-2349,-480,-180,-5421,-1815,-557,5497,-1334,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),6,-17,-3136,3132,17,2,0,-62,53,2,11,2,0,4483,526,-127,-1071,--,--,--,--,--,--,
总资产(万元),3566,6043,7059,6247,2904,22420,24517,26777,28449,28718,40383,45476,51728,64883,133010,142677,151081,135454,141934,135550,121877,101036,50039,
流动资产(万元),948,2541,3341,6207,327,8123,9060,10092,10349,9085,11877,15153,19238,0,0,93280,101673,88076,90943,97395,86779,68861,35936,
总负债(万元),5538,4283,3206,4551,280576,247420,238788,228074,216689,206407,165795,157759,149661,145733,131529,126510,123076,107535,96502,89052,72081,53639,38850,
流动负债(万元),5538,4283,3206,4551,249309,247420,238788,228074,216689,206407,165795,157759,149661,0,0,103556,95173,81840,75301,69234,57275,46481,31424,
股东权益不含少数股东权益(万元),-1972,1761,3853,1696,-277672,-225000,-214271,-201297,-188240,-177689,-125412,-112282,-97933,-80850,1481,16167,28005,27919,45432,46498,49796,47397,11189,
净资产收益率加权(%),--,--,--,--,--,--,--,--,0,--,--,--,0,0,-144.38,--,--,--,0,0,0,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
