报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2012-12-31,
基本每股收益(元),1.34,0.95,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),1.03,0.6,2.49,0.96,3.52,--,
主营业务收入(万元),267536,216163,160948,135298,134638,58698,
主营业务利润(万元),93681,70700,60394,51480,57231,22492,
营业利润(万元),59683,39890,38805,31313,38245,11193,
投资收益(万元),4685,3523,2998,3333,3555,-1581,
营业外收支净额(万元),109,182,1943,2018,1595,536,
利润总额(万元),59792,40072,40748,33331,39840,11728,
净利润(万元),48311,33477,35088,28805,33159,9708,
净利润(扣除非经常性损益后)(万元),46794,31421,32922,27159,32361,--,
经营活动产生的现金流量净额(万元),37182,21472,32070,9554,35215,2733,
现金及现金等价物净增加额(万元),8055,10133,-7161,-5232,11659,-5012,
总资产(万元),274969,224430,176693,163070,151998,79960,
流动资产(万元),181344,143137,106082,96923,94742,42278,
总负债(万元),77794,76598,91783,54231,60919,49529,
流动负债(万元),72895,73432,88061,40398,44611,43487,
股东权益不含少数股东权益(万元),188767,144470,83298,107512,87536,28991,
净资产收益率加权(%),29.99,33.47,25.42,26.35,44.84,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
