报告日期,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,
每股净资产(元),1,2.31,3.79,3.89,2.72,2.49,2.8,2.67,2.23,1.84,
每股经营活动产生的现金流量净额(元),-0.86,-0.58,0.51,-0.95,1.03,-0.31,-0.58,--,--,--,
主营业务收入(万元),9007,9578,11036,12183,11598,10553,9472,8431,6115,5816,
主营业务利润(万元),1079,1590,2752,3801,4504,4465,4291,3840,--,--,
营业利润(万元),-7348,-3779,-1054,-1486,1395,2046,2948,2380,--,--,
投资收益(万元),46,3915,1341,209,150,-22,72,457,--,--,
营业外收支净额(万元),-2214,-9052,-49,-391,4,80,0,0,--,--,
利润总额(万元),-9517,-8916,238,-991,1726,2347,3020,2805,--,--,
净利润(万元),-9171,-8355,138,-1382,1347,1574,2289,2222,1553,1053,
净利润(扣除非经常性损益后)(万元),-7692,-6918,-1113,-2372,1170,1332,--,--,--,--,
经营活动产生的现金流量净额(万元),-5703,-3845,3375,-6360,6201,-1851,-2909,--,--,--,
现金及现金等价物净增加额(万元),-2273,454,721,-1398,2164,-1874,2312,--,--,--,
总资产(万元),39007,47352,52690,56810,36954,33461,26105,20575,--,--,
流动资产(万元),26141,28336,0,28321,0,0,19213,11040,--,--,
总负债(万元),31445,30707,25314,27767,20006,17746,11429,6601,--,--,
流动负债(万元),31261,30397,0,26917,0,0,11429,6601,--,--,
股东权益不含少数股东权益(万元),6655,15391,25322,25927,16310,14963,13990,13368,11145,9182,
净资产收益率加权(%),-84.87,-42.7,0.55,-5.84,8.62,0,16.73,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
