报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.5,0.3,0.48,0.66,0.95,1.15,1.18,1.2,
每股净资产(元),--,--,--,--,--,7.51,6.35,5.16,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,-2.25,-0.28,-0.58,
主营业务收入(万元),376225,230524,156462,101843,77651,78201,65376,57705,
主营业务利润(万元),97461,62792,42304,27444,22687,25067,21503,18043,
营业利润(万元),45706,28154,18418,11830,11975,14831,16090,13965,
投资收益(万元),5016,3066,2564,-61,-25,2,-4,--,
营业外收支净额(万元),-124,-728,22,360,539,1086,343,606,
利润总额(万元),45582,27426,18441,12190,12514,15918,16433,14570,
净利润(万元),32462,19195,15648,10639,11555,13968,14306,12451,
净利润(扣除非经常性损益后)(万元),30228,18836,15596,10113,10332,12819,13754,11380,
经营活动产生的现金流量净额(万元),32210,10156,-11106,-1300,-23143,-27218,-3376,-7026,
现金及现金等价物净增加额(万元),18978,286,10587,-57220,74313,-11728,-2316,16543,
总资产(万元),848580,596153,443183,327345,300240,157484,122082,92882,
流动资产(万元),353215,250457,224838,163956,168037,74432,73896,68255,
总负债(万元),543571,348518,231581,141766,124394,64659,43105,28549,
流动负债(万元),370821,302516,215780,141373,121089,64659,43105,28549,
股东权益不含少数股东权益(万元),268879,218739,197046,181525,172503,91069,77011,62495,
净资产收益率加权(%),13.45,9.27,8.24,5.98,11.93,16.62,20.52,38.3,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
