报告日期,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),0.48,0.4,0.34,0.36,0.23,0.23,0.19,0,--,
每股净资产(元),--,--,--,3.01,2.76,2.54,1.18,0,--,
每股经营活动产生的现金流量净额(元),--,--,--,-0.3,0.11,0.11,0.64,0,--,
主营业务收入(万元),10429049,9724067,9243130,8935318,6218432,4051592,3471072,2637121,2098038,
主营业务利润(万元),1911949,1650944,1306976,1170624,806225,496141,507053,418688,314137,
营业利润(万元),640901,482614,362031,318317,196179,123850,120523,92767,35673,
投资收益(万元),40655,25144,23799,23923,13727,48955,16490,7756,2915,
营业外收支净额(万元),20220,27299,51692,43065,37096,37021,22469,17889,1091,
利润总额(万元),661121,509913,413722,361382,233276,160871,142992,110656,36764,
净利润(万元),549235,412856,338384,298517,190909,131556,113074,74227,13165,
净利润(扣除非经常性损益后)(万元),531844,392009,297178,260042,175253,80016,93782,48101,11955,
经营活动产生的现金流量净额(万元),1475644,488678,190433,-251469,90491,92503,372832,46294,--,
现金及现金等价物净增加额(万元),1464566,-126535,248871,65009,-603055,889569,-111024,33673,--,
总资产(万元),14915228,12015892,10643660,9725973,7716220,6334110,4134857,3890214,--,
流动资产(万元),9749249,7072941,6421453,6313886,5136913,4397172,2438395,2357461,--,
总负债(万元),9850257,8059328,7004247,7096745,5302766,4170954,3402972,3535650,--,
流动负债(万元),8833089,7400763,6520227,6525381,5006443,3791347,2838049,3029769,--,
股东权益不含少数股东权益(万元),4879412,3778034,3481550,2496905,2291112,2108501,681925,309807,--,
净资产收益率加权(%),12.5,11.43,10.52,12.57,8.69,18.57,22.8,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
