报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.12,-0.02,3.39,-0.08,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,-1.72,-1.39,1.73,1.85,1.73,1.71,1.52,2.43,1.83,1.96,
每股经营活动产生的现金流量净额(元),--,--,--,--,-0,-0.2,0.01,-0.13,0.05,0.68,--,--,--,--,
主营业务收入(万元),25215,9,0,0,1820,2146,8319,25980,55820,22493,21027,21324,23452,24814,
主营业务利润(万元),5450,-75,0,0,443,-2563,4236,7383,11451,6799,3012,5471,4169,4053,
营业利润(万元),4033,-444,-2889,-1281,-3273,-24065,2027,3664,9227,4308,3042,5495,4169,4053,
投资收益(万元),--,--,--,--,0,-3848,0,0,2492,0,369,826,214,1294,
营业外收支净额(万元),-167,1,99222,-1053,-79,-14020,-2,-119,-5,0,0,0,0,--,
利润总额(万元),3866,-444,96333,-2334,-3353,-41933,2025,3546,12025,4432,3416,6393,4379,5390,
净利润(万元),3272,-434,96323,-2334,-3353,-41933,1719,3249,12027,4309,3355,6329,4229,4264,
净利润(扣除非经常性损益后)(万元),3337,-418,-2889,--,-3273,-24065,1721,3368,7486,--,--,--,--,--,
经营活动产生的现金流量净额(万元),3607,-885,-1323,--,-3,-5735,223,-3751,1284,14795,--,--,--,--,
现金及现金等价物净增加额(万元),767,-1514,4077,--,-8,-5725,1624,-4561,6566,-236,--,--,--,--,
总资产(万元),45013,3429,4077,0,2151,4201,79726,82598,72129,47408,40975,34075,28277,27740,
流动资产(万元),26534,3423,4077,0,646,2502,--,0,0,18993,26441,21883,17504,20452,
总负债(万元),17723,333,547,83636,51204,43585,30408,30000,22780,9698,7678,8384,8974,13903,
流动负债(万元),17498,333,547,52119,51204,43585,--,0,0,9698,7678,8384,8974,13903,
股东权益不含少数股东权益(万元),27290,3096,3529,-83636,-49052,-39384,49269,52567,49318,37457,33148,25581,19251,13753,
净资产收益率加权(%),12.96,-13.09,--,--,0,--,3.55,6.38,0,12.21,--,0,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
