报告日期,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),5.19,3.94,1.76,1.57,0.73,0.71,1.78,2.33,2.56,1.96,2.03,1.83,1.19,1.09,
每股经营活动产生的现金流量净额(元),-5.35,-0.74,7.31,10.13,1.03,0.54,0.2,0.06,0.38,--,--,--,--,--,
主营业务收入(万元),1115421,802543,444399,204611,110439,48954,35876,78599,93077,104234,86258,84010,60427,60051,
主营业务利润(万元),145183,144340,76110,41063,17653,404,-105,14612,17171,6187,6221,5514,6472,4798,
营业利润(万元),76461,93890,48782,16835,1636,-21223,-12146,476,1052,6404,6444,5531,6755,5355,
投资收益(万元),-14772,773,-169,347,28,-83,-532,396,-421,181,150,222,340,142,
营业外收支净额(万元),-1010,1426,-125,-236,180,3283,319,-63,0,0,0,--,--,--,
利润总额(万元),60783,96101,42140,16967,1844,-18022,-11726,809,646,6344,6352,7182,6541,5344,
净利润(万元),45241,80842,34948,16765,1714,-18060,-11810,679,181,4310,4288,6147,5560,4543,
净利润(扣除非经常性损益后)(万元),60858,79229,34894,15992,1511,-21342,-12739,679,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-214848,-29730,293612,213965,21772,11397,4179,1188,8127,--,--,--,--,--,
现金及现金等价物净增加额(万元),-222682,-51716,241300,172246,24557,9210,2333,3394,-6471,--,--,--,--,--,
总资产(万元),905603,1112167,915079,502779,182749,130082,125581,141825,179137,174626,149242,105336,93852,87699,
流动资产(万元),831349,1041243,866355,465531,--,0,82222,94728,128725,128698,106433,75766,75079,70481,
总负债(万元),691529,951772,842852,469510,166368,114280,87388,91893,124522,133277,112203,66669,68772,64587,
流动负债(万元),677204,928925,824169,463759,--,0,62022,62882,115039,115485,94621,56818,60494,58956,
股东权益不含少数股东权益(万元),208224,158213,70672,33125,15520,15096,37553,49323,54004,41350,37039,38667,25080,23111,
净资产收益率加权(%),25.63,68.73,76.35,70.13,11.79,-75.36,-27.2,0,0.34,0,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
