报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.04,0.06,0.67,0.93,0.93,0,0.69,0.61,
每股净资产(元),--,--,--,6.24,5.59,4.91,3.81,1.81,
每股经营活动产生的现金流量净额(元),--,--,--,0.47,0.6,0.55,0.79,0.41,
主营业务收入(万元),20317,26959,26968,27736,30158,27489,21268,13337,
主营业务利润(万元),8238,8295,9282,10462,9762,6982,4986,3085,
营业利润(万元),1352,1808,5011,6982,6800,4570,2790,1356,
投资收益(万元),102,83,--,28,80,294,110,--,
营业外收支净额(万元),-1,4,462,215,308,248,183,288,
利润总额(万元),1352,1812,5473,7196,7108,4817,2973,1643,
净利润(万元),1228,1711,4725,6068,6042,4091,2526,1390,
净利润(扣除非经常性损益后)(万元),816,1218,4353,5142,4602,3018,2099,1149,
经营活动产生的现金流量净额(万元),1023,-205,1314,3060,3901,3592,3562,1016,
现金及现金等价物净增加额(万元),444,-6572,-1774,-4178,-4920,11205,11134,758,
总资产(万元),77851,78223,76348,64674,47849,45396,29453,12049,
流动资产(万元),27366,26177,28225,28696,32615,36571,26204,9230,
总负债(万元),5768,7004,5974,24117,11540,13504,12307,7515,
流动负债(万元),5182,5268,4008,6732,4330,7699,9594,6795,
股东权益不含少数股东权益(万元),72083,71219,70374,40557,36310,31892,17146,4517,
净资产收益率加权(%),1.71,2.42,9.61,15.91,17.96,22.3,21.7,40.07,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
