报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),-4.21,-0.68,-0.29,0.39,0.27,-0.27,-0.31,0.03,-0.35,0.02,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,-0.66,-0.35,-0.39,-0.05,-0.05,0.32,1.18,2,2.2,3.22,3.03,2.73,1.65,1.47,1.31,1.43,1.32,1.24,1.16,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,-0.06,-0.03,0.01,0.04,0.06,-0.03,-0.04,0.28,0.22,0.39,0.16,0.53,0.57,0.26,--,--,--,--,--,
主营业务收入(万元),39086,205644,850814,804917,440777,2506,3681,5151,5806,6535,7988,12316,12996,28696,30791,23834,18085,16244,11073,7958,9476,10411,14130,12266,--,
主营业务利润(万元),44,-3466,6004,38703,25239,-1810,3553,-2572,-2885,-1826,-2431,-1898,-2284,6866,10477,9463,7622,4300,3353,586,726,1727,5,698,--,
营业利润(万元),-222520,-34626,-11146,25275,12486,-5620,-6232,-7073,-6835,-6555,-14835,-16477,-13675,-3437,1456,2692,3973,3139,2409,227,781,1774,506,777,--,
投资收益(万元),--,--,--,--,10,--,192,467,3647,495,629,-1121,-30,29,-26,11,1025,504,1255,1844,1075,837,484,218,--,
营业外收支净额(万元),-6260,-5249,-4063,53,577,190,-45,7565,-44,6921,--,-370,-2928,-2086,-294,-6,-55,-1,-5,--,0,0,--,--,--,
利润总额(万元),-228780,-39876,-15209,25328,13063,-5431,-6277,492,-6879,366,2093,-17968,-16633,-5494,1137,2697,4943,3641,3659,2050,1845,2602,990,932,--,
净利润(万元),-228780,-40425,-15542,21225,11178,-5149,-6066,664,-6692,353,2450,-17752,-16415,-5457,675,2516,3775,3170,3292,1936,1595,2337,868,824,--,
净利润(扣除非经常性损益后)(万元),-222520,-35978,-12088,21181,10688,-5335,-6020,-6900,-10051,-6766,-15397,-17382,-13487,-3373,1910,2522,2644,3170,2940,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-127,-80664,689,42822,15154,259,-1219,-557,172,700,1071,-574,-794,5401,4234,5046,1993,6779,6793,3105,--,--,--,--,--,
现金及现金等价物净增加额(万元),-68,-1901,-18505,4725,-7302,1130,3688,2851,-338,-355,367,-1443,-33525,2777,5325,-4225,-2035,20053,5242,2122,--,--,--,--,--,
总资产(万元),170712,380951,543236,420268,341112,15913,19184,24477,29076,38948,43437,99782,110362,124241,131010,109999,98833,58622,38006,31939,26177,26173,23323,20491,--,
流动资产(万元),114440,310109,468874,355586,276410,9893,10333,11067,5946,5423,5613,42410,55557,59872,59866,30822,0,--,16247,16383,16335,15446,12042,8726,--,
总负债(万元),315188,295695,417549,280470,223815,33937,31778,30794,35934,38928,43575,92299,86289,84212,86986,64687,54193,23564,18363,14425,10599,10670,9068,7103,--,
流动负债(万元),260031,228561,403490,280470,222815,33287,31128,30143,35284,38278,42925,90173,82513,77614,73056,54387,0,--,12363,14425,10599,9705,8150,7103,--,
股东权益不含少数股东权益(万元),-144476,85256,125687,139798,117296,-17958,-12809,-6743,-7578,-887,-1032,6226,22828,38548,42305,39704,38834,35059,19643,17513,15578,15504,14255,13387,--,
净资产收益率加权(%),0,-38.33,-11.64,16.51,10.06,--,--,--,--,--,0,-127.23,-58.92,-13.79,1.58,6.28,10.22,12.55,--,11.7,--,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
