报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.08,0.1,0.12,0.1,0,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,-2.54,--,--,0.13,0.9,1.03,1.51,2.15,2.45,2.27,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,-0.01,0.24,-0.33,-0.26,0.91,-0.2,--,--,--,--,
主营业务收入(万元),49327,35411,38189,29823,36,--,0,502,1818,18416,20105,69061,25540,15636,15853,11587,10420,
主营业务利润(万元),20345,13704,13768,11337,26,--,0,-1717,-1585,8563,6017,33418,13004,5308,7610,4196,3591,
营业利润(万元),3980,4266,5074,3451,23,--,0,-43687,-15906,410,88,27827,9505,5308,5545,4510,3865,
投资收益(万元),1,32,--,215,--,--,--,-179,-30,-13,0,-1,-3,0,0,0,0,
营业外收支净额(万元),151,44,48,69,3,--,--,-3902,5476,-35,-10,-932,0,0,--,--,--,
利润总额(万元),4130,4310,5122,3520,26,--,0,-47739,-10443,378,4574,33140,20833,6023,5709,4840,4316,
净利润(万元),2752,3412,3646,2456,26,--,0,-45501,-9374,-616,4079,27845,17645,4903,4501,4264,3925,
净利润(扣除非经常性损益后)(万元),2578,3369,3619,2176,23,--,--,-13948,-14866,-581,4088,27845,--,--,--,--,--,
经营活动产生的现金流量净额(万元),2524,6533,3195,185,79,0,0,-500,13795,-18587,-14332,34215,-5096,--,--,--,--,
现金及现金等价物净增加额(万元),-817,2642,-6083,6918,79,0,0,-2245,-104,-12700,-15647,21070,5724,--,--,--,--,
总资产(万元),43998,43761,31368,32636,937,270,270,91754,130025,138438,166857,136912,100954,61126,29297,28196,25166,
流动资产(万元),34268,34411,30328,31715,937,270,270,70142,0,--,0,0,75661,36454,16875,16713,14240,
总负债(万元),12155,15526,6557,18206,72906,72043,72079,83112,75446,75752,76738,51499,34814,12862,9760,11514,14179,
流动负债(万元),12082,15496,6557,18206,71092,70229,70265,63384,0,--,0,0,30559,9334,5768,7782,11736,
股东权益不含少数股东权益(万元),29319,26401,23126,11547,-71969,-71773,-71809,7220,51056,58094,85453,80930,61626,43980,16153,13906,10928,
净资产收益率加权(%),9.88,13.78,20.26,23.91,0,--,--,-156.15,-17.55,-1.05,4.92,0,33.42,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
