报告日期,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),0.19,0.07,0.19,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),3.11,2.93,2.92,2.73,2.64,2.51,2.7,2.54,2.42,2.34,2.24,--,--,--,
每股经营活动产生的现金流量净额(元),0.33,0.24,0.26,0.27,0.25,0.15,0.15,0.24,0.32,0.12,0.01,--,--,--,
主营业务收入(万元),74645,69300,77512,71369,62648,57730,55806,40520,37391,34436,36820,32605,23735,14078,
主营业务利润(万元),44180,39427,41270,42517,38151,28835,31160,28393,27267,24426,28791,24701,18157,11090,
营业利润(万元),33048,23812,37477,27954,24288,2183,16244,16633,23819,22194,24373,16028,12783,9489,
投资收益(万元),957,880,6565,559,917,-21379,350,-4680,1255,5309,-141,0,0,0,
营业外收支净额(万元),415,-11367,1233,-671,-116,-72,3024,0,-3,3,231,0,0,0,
利润总额(万元),33463,12444,38710,27843,25092,-10639,30249,26296,25071,31048,24463,16028,12783,9489,
净利润(万元),23631,8099,23483,18301,16898,-12548,18323,15747,19138,21442,20486,14322,11082,7877,
净利润(扣除非经常性损益后)(万元),22376,17818,15261,17714,15226,2061,--,17399,20583,14203,20410,--,--,--,
经营活动产生的现金流量净额(万元),40248,29042,31382,32596,30863,17916,18292,29306,39226,15024,821,--,--,--,
现金及现金等价物净增加额(万元),24937,-15482,-21162,49190,6208,9794,-40113,2583,2271,-30257,97056,--,--,--,
总资产(万元),542353,502891,486533,527183,500434,510460,514256,528991,500024,414591,434719,296186,290516,222579,
流动资产(万元),95485,83570,104850,132543,82728,84623,77151,101005,0,0,0,3008,898,591,
总负债(万元),125707,110254,104671,159747,138405,163604,143137,168649,156343,123438,157119,102257,102176,58541,
流动负债(万元),97007,55554,100905,66047,44574,66772,50805,78549,0,0,0,63157,57676,541,
股东权益不含少数股东权益(万元),378692,355065,344671,331266,320719,304664,327078,308726,293559,284064,271666,189429,183840,159538,
净资产收益率加权(%),6.44,2.31,6.89,5.55,5.07,-3.95,--,0,6.6,7.61,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
