报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.58,0.44,0.97,0.18,0.45,0.96,1.21,0.8,0.67,
每股净资产(元),--,--,--,--,--,8.55,3.79,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,0.72,0.22,1.2,
主营业务收入(万元),155337,101791,79552,10694,20033,36370,39513,29432,22180,
主营业务利润(万元),133490,79843,61470,3527,6145,12881,13845,9564,7517,
营业利润(万元),66586,49784,34395,1542,3229,7934,8316,5399,3711,
投资收益(万元),7423,2524,16,438,--,--,90,68,--,
营业外收支净额(万元),-140,395,191,176,837,89,319,95,101,
利润总额(万元),66446,50178,34586,1718,4066,8023,8635,5494,3812,
净利润(万元),56628,42487,29306,1418,3574,6880,7272,4787,3336,
净利润(扣除非经常性损益后)(万元),49924,39964,28773,878,2795,6806,7001,4673,3250,
经营活动产生的现金流量净额(万元),48589,29652,18714,1738,1932,7454,4320,1322,5993,
现金及现金等价物净增加额(万元),-16402,-168928,180917,-13309,-3235,34114,2875,2116,-520,
总资产(万元),451027,403774,369456,78369,77566,78599,40554,34094,26802,
流动资产(万元),343216,336599,305302,63957,63064,66886,30108,23988,16471,
总负债(万元),63461,45510,40768,7300,6944,10180,17808,18619,15640,
流动负债(万元),56101,42585,37179,6292,6234,8930,16459,17706,12436,
股东权益不含少数股东权益(万元),385671,356509,328563,71070,70622,68420,22746,15474,11162,
净资产收益率加权(%),15.43,12.15,25.43,2,5.14,14.21,38.05,36.53,35.13,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
