报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),-0.37,0.34,0.31,0.48,0.48,0.87,0.56,0.84,0.78,--,
每股净资产(元),--,--,--,--,--,--,--,3.67,3.15,8.19,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,0.27,0.97,2.55,
主营业务收入(万元),334550,320986,210358,172449,108046,105921,78718,80937,66205,46752,
主营业务利润(万元),57886,87762,63840,49311,25081,27079,19019,18950,17436,14365,
营业利润(万元),-72971,50108,42239,32906,16180,14085,8285,9984,9626,7979,
投资收益(万元),3400,1379,393,953,653,620,243,206,186,13,
营业外收支净额(万元),940,292,1856,1148,599,1095,476,789,366,586,
利润总额(万元),-72031,50400,44095,34054,16779,15180,8761,10774,9993,8565,
净利润(万元),-77982,44329,38526,29336,14542,13069,7570,9443,8770,7551,
净利润(扣除非经常性损益后)(万元),-85498,41357,36259,27412,13338,11553,6961,7576,7373,6078,
经营活动产生的现金流量净额(万元),58675,35035,35889,23265,15632,17674,10697,2985,10898,9707,
现金及现金等价物净增加额(万元),22811,-27098,46494,14736,-5626,7959,2680,2742,4522,2633,
总资产(万元),768982,878179,414611,312373,139066,120588,105824,64753,60865,50795,
流动资产(万元),254145,315866,186802,146436,107980,93093,79661,42543,33909,25153,
总负债(万元),246000,261918,130574,63742,29226,21234,16545,23391,25292,18892,
流动负债(万元),179655,210343,81638,51745,28169,20710,16426,23212,24772,14227,
股东权益不含少数股东权益(万元),522731,615821,283707,248443,109756,99274,89205,41248,35405,31136,
净资产收益率加权(%),-13.52,11.81,14.2,13.53,14.04,13.91,11.01,25.23,25.78,27.6,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
