报告日期,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.6,0.71,0.55,
每股净资产(元),3.75,3.13,1.62,
每股经营活动产生的现金流量净额(元),0.07,-0.61,-1.41,
主营业务收入(万元),15928,12242,8685,
主营业务利润(万元),7552,5639,4615,
营业利润(万元),3262,2742,2613,
投资收益(万元),0,0,0,
营业外收支净额(万元),273,834,1,
利润总额(万元),3534,3576,2613,
净利润(万元),2965,3024,1751,
净利润(扣除非经常性损益后)(万元),2733,2315,1750,
经营活动产生的现金流量净额(万元),337,-2706,-4515,
现金及现金等价物净增加额(万元),1223,-1530,1641,
总资产(万元),38923,31932,25240,
流动资产(万元),31175,23837,16755,
总负债(万元),19794,17838,20060,
流动负债(万元),19794,17838,19460,
股东权益不含少数股东权益(万元),19129,14094,5180,
净资产收益率加权(%),17.11,26.07,40.41,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
