报告日期,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.21,0.4,0.68,0.67,0.69,0.58,0.57,0.61,
每股净资产(元),3.97,4.03,7.77,7.69,2.77,2.08,1.4,1.25,
每股经营活动产生的现金流量净额(元),0.29,0.31,0.66,0.53,0.52,0.65,0.22,1.07,
主营业务收入(万元),101805,107682,84743,71563,61576,53493,48045,35352,
主营业务利润(万元),42424,54688,41130,35731,31675,26363,20117,14185,
营业利润(万元),13109,26364,21230,18788,16178,13275,10487,9167,
投资收益(万元),454,--,--,--,0,0,0,0,
营业外收支净额(万元),537,-23,-192,521,-1,208,-304,-38,
利润总额(万元),13647,26341,21038,19309,16176,13483,10183,9129,
净利润(万元),11098,21153,18090,16687,13811,11618,8983,8218,
净利润(扣除非经常性损益后)(万元),10673,21184,18262,16243,13813,11440,9270,3181,
经营活动产生的现金流量净额(万元),15660,16644,17627,14101,10421,13082,3482,14405,
现金及现金等价物净增加额(万元),-7441,-30951,-8600,134309,3324,601,15491,2628,
总资产(万元),239756,244221,217856,217732,73521,60829,56710,34451,
流动资产(万元),160138,177831,179823,187681,45072,35775,35593,15752,
总负债(万元),21457,24118,10488,12434,18171,19290,24789,20594,
流动负债(万元),18625,20687,10098,11962,17739,17186,24735,20540,
股东权益不含少数股东权益(万元),212536,215391,207369,205298,55350,41539,31921,13858,
净资产收益率加权(%),5.23,10.07,8.88,10.07,28.51,31.92,41.07,48.86,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
