报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),-2.18,0.22,0.05,0.05,0.13,0.06,0.1,0.1,0.11,0.13,0.15,0.29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,1.45,1.36,1.25,1.88,0.46,-0.04,-0.12,0.89,2.03,1.88,1.77,1.56,1.41,2.07,2.27,2.34,2.14,2.1,2.1,2.17,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,-0.41,-0.08,0.23,-0.27,-0.31,0.11,0.26,0.05,-0.64,-0.59,0.16,0.37,0.12,-0.25,--,--,--,--,--,--,
主营业务收入(万元),214727,200367,232680,171657,127000,128543,106293,111824,77614,72294,62358,94665,20549,23900,35828,54185,21934,22612,15097,23601,27123,31268,29030,21100,14537,15804,11013,
主营业务利润(万元),48356,75254,65967,39077,24646,16805,12441,13477,10817,14269,9531,21713,3413,2627,4856,12045,8989,6231,2670,5154,8079,-343,-889,819,955,588,1518,
营业利润(万元),-343926,49033,10470,1439,3618,3380,4929,-618,4912,7247,2025,9407,-3903,-10876,-11727,1817,2755,1679,-979,-3442,-397,1881,601,1451,0,634,1498,
投资收益(万元),-1017,641,-15280,4319,486,482,4567,1219,8382,2000,2535,3732,-378,-2700,-3450,-342,-11,1039,-2144,299,87,30,157,351,528,1228,7,
营业外收支净额(万元),-30616,542,3526,3635,5996,1358,1856,6675,2869,1045,--,--,9774,933,-1890,1059,1075,619,5542,3300,0,0,0,0,-617,0,--,
利润总额(万元),-374542,49575,13997,5074,9614,4738,6785,6057,7781,8293,4721,9482,5492,-12643,-17068,2534,3819,3513,2419,221,91,895,995,1142,1012,1982,1318,
净利润(万元),-381341,38717,9169,4708,7688,3282,5617,5403,6468,7161,4114,6914,933,-11686,-14856,1394,2678,2814,2058,107,66,697,820,989,826,1685,1647,
净利润(扣除非经常性损益后)(万元),-349075,36278,17422,3264,3367,2054,-582,-1658,-3755,3940,-962,3271,-4114,-12768,-14890,-1467,1415,1284,-3414,-3428,--,--,--,--,--,0,--,
经营活动产生的现金流量净额(万元),-9698,-6352,54719,-28700,-24411,14947,-7023,-23090,-4601,13018,-9091,-7480,1251,2972,546,-7381,-6843,1868,4287,1372,-2931,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-90668,7215,51829,19903,1209,-5902,4339,32,11809,-6291,7991,-2956,2751,-2745,265,-8362,-62,10723,1209,-516,-7670,--,--,--,--,--,--,
总资产(万元),500575,848939,792112,830495,629146,270179,273535,236852,190047,187502,162549,141579,86248,86480,113018,135061,117782,79137,59960,78679,75511,73898,54669,41856,34778,28241,23922,
流动资产(万元),259267,437377,430450,426427,355015,191714,203544,183269,163564,118357,112186,92905,44966,36956,59602,78613,0,0,0,0,50724,43816,30009,23516,22216,10569,15724,
总负债(万元),378002,345332,328781,364712,362922,163815,165648,136765,109214,112731,95768,126261,81469,84958,98469,104791,89669,55192,41957,61954,50970,49438,33300,22238,15656,9970,761,
流动负债(万元),317014,286773,266993,308656,318024,146599,132781,97683,87937,97806,95323,124774,80979,84094,97567,104167,0,0,0,0,49172,45065,32889,23446,16892,9010,6612,
股东权益不含少数股东权益(万元),108640,491497,461715,453398,248742,89170,88157,82540,77141,70874,62820,10988,-441,-1408,10227,23341,21642,20381,18003,16181,23844,23788,21296,19487,19122,18271,16331,
净资产收益率加权(%),-126.76,8.08,2,1.83,6.49,3.63,6.58,6.77,8.74,10.7,14.25,43.76,0,0,-88.48,5.92,12.33,14.65,12.02,0,0.28,--,0,0,0,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
