报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2004-12-31,2003-12-31,2002-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,
基本每股收益(元),0.02,0.04,11.15,-0.3,-0.35,-0.35,-0.35,-0.35,-0.35,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,-12.18,-11.87,-11.52,-11.17,-10.82,-10.46,-8.7,-8.28,-7.93,-4.46,-3.35,-2.01,1.03,2.29,2.23,2.31,2.93,2.09,1.72,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0,0,0,0,-0.04,0.06,-0.06,--,--,--,--,--,--,--,
主营业务收入(万元),94229,81559,12362,0,0,0,0,0,0,0,0,0,10308,10299,3684,3705,16972,11912,22025,22169,15661,9350,
主营业务利润(万元),6937,10761,1077,0,0,0,0,0,0,0,0,0,3594,3988,1392,836,-7518,-6943,-3784,-169,-2011,9350,
营业利润(万元),4252,7286,743,-4677,-5554,-5547,-5542,-5533,-5543,-6567,-5524,-6153,-13806,-11257,-37791,-20293,-7319,-5014,-2463,2616,3060,9350,
投资收益(万元),29,17,9,--,--,--,--,0,--,--,0,-399,-1087,-482,1968,-4324,8609,3412,974,4294,758,0,
营业外收支净额(万元),-38,134,174749,--,--,--,--,0,--,-0,0,-4,-1679,0,--,--,0,0,0,0,--,--,
利润总额(万元),4214,7420,175492,-4677,-5554,-5547,-5542,-5533,-5543,-6567,-5524,-6556,-16572,-11773,-35843,-25784,942,-1569,1671,7306,3840,1589,
净利润(万元),2989,6162,175295,-4677,-5554,-5547,-5542,-5533,-5543,-6567,-5524,-6556,-17463,-12954,-36088,-25454,881,-1151,1633,6142,3806,1478,
净利润(扣除非经常性损益后)(万元),2985,6010,546,-4677,-5554,-5547,-5542,-5533,-5543,-6567,-5524,-6556,-15784,0,--,--,--,--,--,0,--,--,
经营活动产生的现金流量净额(万元),-918,-3449,5177,0,0,--,0,-0,0,6,0,-4,-661,1017,-958,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-1447,-3450,4744,0,0,--,0,-0,0,6,0,-4,-820,1272,-298,--,--,--,--,--,--,--,
总资产(万元),239644,235819,228011,2,12375,12510,12645,12779,12881,14840,18039,16502,72307,83375,90306,114947,133327,138318,145304,115008,77483,32330,
流动资产(万元),90573,86804,78161,2,114,114,114,114,81,998,4047,2354,0,0,47033,71690,94206,96907,99082,86975,56174,21935,
总负债(万元),15264,14428,11187,191509,199065,193645,188234,182826,177394,151642,148274,141212,138948,132969,119722,108489,96249,101321,107542,78096,58378,22816,
流动负债(万元),15045,14202,11187,124813,132722,129616,126517,123422,120304,151642,148274,141212,0,0,119511,107028,95749,96864,98238,74471,45652,20052,
股东权益不含少数股东权益(万元),224380,221391,216824,-191506,-186690,-181135,-175589,-170046,-164513,-136802,-130235,-124711,-70155,-52689,-31651,4437,36002,35122,36279,35451,18081,8467,
净资产收益率加权(%),1.34,2.82,80.85,--,--,--,--,--,--,--,0,--,0,0,--,--,0,0,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
