报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),0,0,0.05,0.02,0.04,0,-0,0,0.01,-0,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,-0.27,-0.31,-0.32,-0.33,-0.33,-0.34,-1.52,-1.38,-1.47,-0.94,-0.25,0.34,1.58,1.83,2.1,2.24,2.35,2.24,2.21,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,0,0.01,0,-0.03,0.03,-0.14,-0.02,-0.04,-0.16,-0.14,--,--,--,--,--,--,
主营业务收入(万元),2194,3129,8376,4912,3949,1631,1420,2676,3236,3288,3569,3150,4912,3671,11044,17513,18487,45318,75684,92257,97065,75275,--,
主营业务利润(万元),563,407,2444,1067,246,147,157,134,228,122,483,-230,-1166,-2649,1421,2289,2314,-4150,467,1237,7443,4081,--,
营业利润(万元),119,4,1858,381,-529,-565,-594,-805,-601,-426,-3972,-4527,-11796,-14704,-15713,-19854,-10628,-3508,1267,1732,0,4441,--,
投资收益(万元),25,--,--,--,--,--,--,--,--,0,-1288,1222,-403,63,627,-638,4096,-3110,-326,1020,517,227,--,
营业外收支净额(万元),--,-4,-11,314,1824,690,510,862,918,355,443,1262,-207,-251,613,795,0,0,0,0,-1434,0,--,
利润总额(万元),119,-0,1847,694,1296,126,-84,57,317,-71,-4795,-2039,-12392,-14876,-14456,-19698,-6473,-6523,1048,3023,6719,3674,--,
净利润(万元),94,3,1178,478,965,92,-89,10,256,-77,-4820,-2005,-12372,-14652,-14571,-19714,-6399,-6651,755,2654,5694,3159,--,
净利润(扣除非经常性损益后)(万元),77,7,1189,243,-538,-563,-600,-637,-432,-343,-5282,-4472,-12171,-14468,-15130,-19870,--,--,--,--,--,0,--,
经营活动产生的现金流量净额(万元),-95,-656,1678,724,-1602,64,-441,31,220,95,-692,599,-3404,-510,-1028,-3784,-3333,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-70,-656,2173,748,-208,44,-14,-21,184,150,264,-137,-1135,451,-669,-1127,111,--,--,--,--,--,--,
总资产(万元),3534,3462,4196,3951,4365,2878,2682,2395,2759,2925,6568,10087,16678,27092,42315,63826,102587,117871,120844,114623,93908,57586,45315,
流动资产(万元),3524,3449,4181,3921,4329,2836,2625,2333,2681,2820,1921,3670,4505,12512,0,0,69641,78151,76798,78924,60476,33860,32401,
总负债(万元),7974,8005,8739,9821,10757,10236,10132,10093,10443,10853,42324,42671,51194,48707,47361,54453,63847,73044,69514,65441,42389,31843,26376,
流动负债(万元),7669,7700,8434,9516,9962,9441,9337,9298,9648,10059,42324,42671,51194,48707,0,0,63539,72491,67749,56542,29967,21538,21499,
股东权益不含少数股东权益(万元),-4671,-4766,-4769,-5947,-6425,-7390,-7482,-7730,-7740,-7996,-35835,-32639,-34637,-22337,-5996,8083,37315,43154,49732,48144,50513,25743,18939,
净资产收益率加权(%),--,--,--,--,0,0,0,--,0,0.01,0,0,0,--,0,-109.89,-15.79,--,0,0,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
