报告日期,2018-12-31,2017-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),-0.04,0.28,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,-2.09,-1.79,-1.47,-1,-1.24,1.1,2.08,1.95,1.93,1.98,1.96,2.92,
每股经营活动产生的现金流量净额(元),--,--,-0,-0,-0,-0.01,-0.01,0,-0.01,--,--,--,--,--,
主营业务收入(万元),6168,20436,1985,2946,2717,2856,4230,7735,11117,19246,30205,34279,34996,39499,
主营业务利润(万元),971,5712,281,611,768,487,311,621,1332,3483,3475,2227,10130,9939,
营业利润(万元),-3511,-1398,-9550,-8933,-7879,-4306,-61041,-7017,2923,5584,3970,0,5176,5908,
投资收益(万元),--,--,-1078,0,-203,5252,-1650,503,1331,14,4238,2748,1075,2,
营业外收支净额(万元),-32,25927,-5,-1006,-9734,-418,-6296,-458,--,0,0,0,0,0,
利润总额(万元),-3543,24529,-10633,-9939,-17817,527,-68970,-6770,4488,6124,9445,4809,6426,5755,
净利润(万元),-3457,24261,-10636,-9951,-17926,527,-68974,-6770,3808,5531,8186,4123,5296,4892,
净利润(扣除非经常性损益后)(万元),-3596,1455,-9630,-8945,-4564,-4306,-62719,-6972,--,--,--,--,--,0,
经营活动产生的现金流量净额(万元),-756,-3118,4,-24,-19,-407,-336,122,-321,--,--,--,--,--,
现金及现金等价物净增加额(万元),-54,-3668,4,-23,-14,-39,-323,63,-392,--,--,--,--,--,
总资产(万元),41584,45893,21230,29784,34000,39794,47024,93408,95601,112425,91440,85212,84205,57589,
流动资产(万元),22148,25203,5681,9835,0,0,0,0,61132,65923,72836,66480,68115,41032,
总负债(万元),27441,28293,84474,82595,76661,68959,84681,60095,32639,45934,32973,34997,46097,24149,
流动负债(万元),26415,27149,84474,82595,0,0,0,0,32495,45431,32841,34609,46097,22439,
股东权益不含少数股东权益(万元),14143,17600,-63245,-54112,-43949,-30340,-37657,33313,62962,59154,58467,50067,37538,32847,
净资产收益率加权(%),-21.78,110.02,0,0,0,0,0,0,6.24,--,0,0,--,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
