报告日期,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1991-12-31,1990-12-31,
基本每股收益(元),1.66,2.45,1.93,1.51,1.17,0.96,0.94,1.62,--,0.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,11.89,10.6,9.48,8.65,9.35,7.01,6.1,5.58,6.05,5.13,4.72,4.51,3.37,3.39,3.22,2.96,2.35,2.44,2.49,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,-1.23,-2.59,4.11,-2.28,-4.74,-3.1,-2.21,-1.97,-0.39,1.73,0.06,0.47,0.38,0.83,--,--,--,--,--,--,--,
主营业务收入(万元),4338506,3256781,2529676,1511137,1378243,1013770,357318,411164,293940,265948,347590,483883,385415,332082,291723,93047,59857,159794,181871,93886,32412,24563,8114,7109,
主营业务利润(万元),1077827,894514,807844,500812,383485,255274,121043,141965,88994,62826,63514,61343,51542,51665,48873,30572,11857,9379,5952,9443,7868,6602,0,0,
营业利润(万元),830841,792721,623436,438951,326454,227464,129021,132721,71018,54198,50755,47982,37791,31523,30430,19878,5814,9259,7367,9558,8019,6760,0,0,
投资收益(万元),32504,56927,557,5334,6531,30457,80282,20106,-2704,-3592,-4955,-3536,-4250,-4528,540,2868,5256,2126,3329,2764,2894,945,0,0,
营业外收支净额(万元),1763,3997,-3486,10234,758,-91,1166,--,-117,-339,-1951,-2242,-1426,-1110,1019,775,0,0,0,0,0,25,--,--,
利润总额(万元),832604,796718,619950,449185,327212,227373,130186,145444,71875,53604,47173,45520,33576,29144,35372,25601,11785,11730,10956,12957,10725,7950,2297,1894,
净利润(万元),426364,420215,331827,259178,201140,164414,122762,115788,56791,42158,35980,33048,24182,17496,20891,15981,11376,10455,10016,12556,10641,8056,2282,1675,
净利润(扣除非经常性损益后)(万元),441673,392318,334747,249023,200318,165477,125464,106903,56433,42078,37632,34983,25748,18954,18163,15801,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-644706,49592,509878,-211234,-444629,705473,-391984,-400259,-192015,-136655,-121591,-20236,82612,2706,22585,15120,29911,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-128792,601717,455853,474538,13893,141760,381307,262558,61237,-9027,-29360,8690,13213,-22535,33801,22271,-5695,--,--,--,--,--,--,--,
总资产(万元),15169237,13404045,10919724,7966649,5981824,4789716,3743701,2510716,1420184,893657,845500,592365,526896,469262,488883,388623,274342,261275,246465,173924,114517,99022,--,--,
流动资产(万元),14025067,12285216,10307214,7394276,5361097,4263616,3249740,2166572,1089851,608212,575318,392161,--,0,0,0,94723,128550,111306,61495,27222,28759,--,--,
总负债(万元),10794559,9512328,7975796,5538950,3867232,2959512,2115751,1596242,970410,504785,490200,259951,264430,231793,238270,213749,151548,144435,150709,107465,52302,45423,--,--,
流动负债(万元),8011429,7483493,6524911,3968135,2850780,2371235,1421842,1228146,575596,343874,488965,254651,--,0,0,0,121186,102704,113061,79439,32567,27670,--,--,
股东权益不含少数股东权益(万元),3109442,2672550,2339352,2041821,1820743,1627874,1486275,790292,433819,377576,345129,311887,244437,225028,214856,133735,122058,115913,94855,65436,61448,52281,--,--,
净资产收益率加权(%),14.68,16.73,15.19,13.39,11.66,10.54,13.7,21.77,14,11.72,10.96,12.42,10.2,7.89,10.78,12.5,9.63,--,0,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
