报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),2.94,2.38,1.86,1.45,1.1,0.65,0.54,0.72,0.8,0.41,0.07,0.91,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,5.44,4.83,3.39,2.93,4.34,3.25,3.2,3.13,3.03,3.34,5.47,5.47,5.25,5.06,5.75,3.67,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,0.38,1.14,0.25,-0.25,1.02,0.73,0.18,-0.49,0.52,0.24,0.26,0.54,0.59,-0.14,--,--,--,--,--,
主营业务收入(万元),2363693,2138470,1633491,1313163,1080422,872796,689986,1097562,1120237,437524,429299,500069,425634,326017,242293,290132,275570,205423,272486,265963,216717,183936,135316,100526,76410,48469,
主营业务利润(万元),606119,527001,412450,341847,272930,212533,152947,180005,173322,100368,78009,97326,89042,63926,45644,52166,42380,51607,70295,75212,58190,34285,22746,17876,12596,5586,
营业利润(万元),246097,204887,155403,121030,90841,52144,40446,59327,66824,19982,4189,42669,-225,1601,1114,2061,-86311,4829,22584,29553,33130,35026,23303,17884,12711,5596,
投资收益(万元),11982,32062,20024,20175,17797,11686,5562,7737,400,-728,6291,28510,4441,2606,3464,5668,2741,1402,1727,-2437,-4565,-2274,-1229,0,0,0,
营业外收支净额(万元),1819,1583,3040,1512,2559,2718,4112,7710,5344,7780,-228,0,-1650,-1107,-187,-1599,-3655,0,-799,-664,0,0,0,0,0,0,
利润总额(万元),247916,206469,158443,122542,93400,54862,44557,67037,72168,27762,3962,41899,2773,4235,4858,6224,-86846,7426,23512,26452,28217,32413,21717,17457,13114,5286,
净利润(万元),186246,150641,117505,91918,69820,41335,33839,45333,50692,22218,4004,33339,4135,4010,3904,3599,-41843,2683,18822,20939,22472,26286,17848,14719,9933,3035,
净利润(扣除非经常性损益后)(万元),182299,145695,116294,90339,54974,31026,34198,36436,37096,14852,8723,16194,3591,1357,1388,1045,-41958,3847,17775,20917,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),262489,201575,389607,359870,165711,90488,34476,24253,72413,13903,-13472,37292,26735,6583,-17933,19145,8655,9644,19569,21559,-5087,--,--,--,--,--,
现金及现金等价物净增加额(万元),29574,-275420,137900,127595,-4147,26508,-98653,16063,57302,23445,-28961,16129,-11475,3354,-22436,28156,7741,-4686,757,9827,-41543,--,--,--,--,--,
总资产(万元),2356190,2133842,1888599,1432766,1137679,922253,840371,914519,800158,387863,333929,378452,361755,343930,311721,307906,316963,342063,340715,318400,280995,252922,143963,97859,58978,44304,
流动资产(万元),2169335,1956497,1732787,1275248,979484,761634,665862,729411,624285,288093,232352,263959,245925,248552,212497,208509,215648,0,0,0,189961,185402,109137,79406,42956,31147,
总负债(万元),1381334,1312012,1192689,833993,623210,468820,415316,518016,449073,196392,164349,206603,230310,218137,189867,189210,208723,134010,131742,116239,90622,77091,53360,43859,28442,21826,
流动负债(万元),1376212,1310336,1190612,829811,621618,467196,413503,515271,446302,194900,162415,204346,230203,218030,189760,189103,206616,0,0,0,89786,71135,50233,37631,26626,19627,
股东权益不含少数股东权益(万元),831206,704709,598385,512487,442798,390890,368621,344114,305648,185491,160632,158291,118707,116862,114182,110683,121842,199547,199587,191632,184761,174838,89706,53587,30248,22219,
净资产收益率加权(%),24.42,23.12,21.14,19.32,16.73,10.88,9.59,13.99,18.09,12.94,2.5,23.5,3.51,3.47,3.47,3.25,-24.97,1.35,9.9,11.22,12.5,--,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
